Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,28,19,1510,16.8,2,0,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.6,2.2,0.09,0.04,0.13,0.09,0.13,Matches,23,7,30.4,1.37,0.42,0.09,0.29,20.8,0,0.07,+0.4,+0.4,591,735,80.4,10181,2575,279,311,89.7,266,316,84.2,43,84,51.2,-0.6,11,64,14,3,60,722,13,3,146,20,22,0,0,0,0,566,72,97,32,660,23,8,0,1,16,10,27,34,2.03,26,0,5,1,0,0,0.00,0,0,0,0,0,0,26,13,10,12,4,3,20.0,12,65,21.1,101,153,54,0,16,33,13,0,921,26,33,77.1,39,1,786,6,26,28,807,699,86.6,61,54,44.2,73,5,9,13,6,1.11,20,29,-9,-0.54,-0.07,19.2,23.6,-4.5,-0.27,-0.06,0,28,0,0,0,130,14,20,41.2,Big-5-European-Leagues,Big5,2018-2019
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,8,721,8.0,0,2,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.7,0.9,0.03,0.09,0.12,0.03,0.12,Matches,3,1,33.3,0.37,0.12,0.00,0.00,19.5,0,0.08,-0.2,-0.2,416,516,80.6,6997,2224,208,249,83.5,162,193,83.9,40,56,71.4,+1.3,5,49,4,0,52,500,16,4,89,6,2,0,0,0,0,364,70,82,79,373,48,2,2,1,8,3,14,13,1.62,11,0,1,1,0,4,0.50,3,0,1,0,0,0,27,21,12,11,4,11,50.0,11,81,38.6,65,112,33,0,12,38,11,0,617,17,7,78.6,11,1,411,1,13,9,438,404,92.2,25,72,23.6,85,6,2,23,1,2.10,18,2,+16,+2.00,+1.30,16.0,6.1,+9.9,+1.23,+0.62,0,12,0,0,0,127,16,13,55.2,Big-5-European-Leagues,Big5,2018-2019
13,Antonio AdÃ¡n,es ESP,GK,AtlÃ©tico Madrid,es La Liga,31,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,12,24,50.0,369,247,1,1,100.0,6,6,100.0,5,17,29.4,0.0,0,0,0,0,0,13,11,0,0,1,0,0,0,0,0,8,1,15,16,5,0,0,3,0,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,28,27,0,,0,0,11,0,0,0,9,9,100.0,0,90,2.6,90,1,0,,35,2.00,5,4,+1,+1.00,+0.32,1.6,2.4,-0.9,-0.87,-1.09,0,0,0,0,0,3,0,0,,Big-5-European-Leagues,Big5,2018-2019
14,Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,10,8,645,7.2,0,2,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,0.2,0.2,0.8,1.0,0.03,0.12,0.15,0.03,0.15,Matches,9,3,33.3,1.26,0.42,0.00,0.00,28.4,2,0.02,-0.2,-0.2,230,325,70.8,4875,1724,81,91,89.0,97,126,77.0,46,94,48.9,+1.2,14,8,10,10,12,258,67,0,65,25,41,7,1,0,0,170,45,110,37,228,14,45,1,2,3,7,12,25,3.49,14,5,3,1,0,2,0.28,2,0,0,0,0,0,13,7,5,7,1,9,52.9,8,21,24.1,33,37,17,0,8,21,10,0,386,19,7,73.3,11,0,258,4,4,5,267,236,88.4,20,65,18.9,76,4,2,18,0,1.20,10,10,0,0.00,+0.52,7.1,9.9,-2.7,-0.38,-0.08,0,6,0,0,0,38,0,4,0.0,Big-5-European-Leagues,Big5,2018-2019
15,Khaled AdÃ©non,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,22.2,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.9,0.04,0.00,0.04,0.04,0.04,Matches,11,0,0.0,0.50,0.00,0.00,,9.1,0,0.08,-0.9,-0.9,842,967,87.1,19080,6527,203,230,88.3,453,486,93.2,179,239,74.9,-0.1,3,62,4,0,63,939,28,0,106,45,0,0,0,0,0,674,97,196,145,707,86,1,8,1,23,6,7,7,0.32,5,0,0,1,0,0,0.00,0,0,0,0,0,0,31,24,20,11,0,13,41.9,18,68,43.0,85,67,6,0,25,50,118,0,1192,125,15,100.0,2,0,722,0,2,9,708,695,98.2,11,87,58.3,89,20,1,45,10,0.91,16,32,-16,-0.72,-0.41,19.1,26.6,-7.5,-0.34,-0.07,1,33,0,0,1,249,42,37,53.2,Big-5-European-Leagues,Big5,2018-2019
16,Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,5,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.5,0.5,0.1,0.6,0.17,0.03,0.20,0.17,0.20,Matches,3,1,33.3,1.00,0.33,0.33,1.00,19.3,0,0.17,+0.5,+0.5,77,101,76.2,1199,378,41,50,82.0,28,33,84.8,6,8,75.0,-0.1,2,2,3,0,4,78,23,0,11,1,3,0,0,0,0,65,24,12,10,66,1,23,0,2,1,3,7,2,0.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,7,3,3,2,2,1,50.0,1,13,27.7,24,14,9,0,2,10,3,0,146,5,9,61.5,8,0,109,2,13,7,104,85,81.7,11,54,7.9,82,1,2,13,21,1.40,3,2,+1,+0.33,+0.56,2.1,3.8,-1.7,-0.57,-0.31,0,3,0,0,0,21,2,3,40.0,Big-5-European-Leagues,Big5,2018-2019
17,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.01,0.38,0.39,0.01,0.39,Matches,1,0,0.0,0.42,0.00,0.00,,47.3,0,0.02,0.0,0.0,111,151,73.5,1935,591,48,60,80.0,49,63,77.8,11,23,47.8,-0.9,6,13,3,1,16,145,6,1,32,5,7,2,1,0,0,111,22,18,14,132,2,2,0,1,3,2,5,7,2.92,7,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,0,2,1,2,50.0,2,16,28.1,13,29,15,0,3,4,1,0,187,0,8,68.8,13,1,154,1,13,6,170,149,87.6,15,31,6.3,73,0,5,14,3,0.57,0,2,-2,-0.83,-0.66,1.8,2.6,-0.8,-0.33,+0.01,0,4,0,0,0,21,2,1,66.7,Big-5-European-Leagues,Big5,2018-2019
18,Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.08,0.08,0.16,0.08,0.16,Matches,3,0,0.0,1.63,0.00,0.00,,17.2,0,0.05,-0.1,-0.1,78,123,63.4,1504,612,35,48,72.9,32,46,69.6,10,23,43.5,-0.2,3,6,2,1,10,99,24,0,24,4,5,6,0,0,0,69,27,27,78,22,5,14,1,2,4,4,5,6,3.25,4,1,1,0,0,1,0.54,1,0,0,0,0,0,3,2,3,0,0,1,20.0,4,6,28.6,10,9,2,0,1,6,4,0,138,8,4,80.0,4,0,88,0,0,0,87,79,90.8,5,55,4.9,77,1,1,13,13,0.33,3,5,-2,-1.08,-2.00,3.2,2.4,+0.8,+0.46,-0.23,0,2,0,0,0,20,4,1,80.0,Big-5-European-Leagues,Big5,2018-2019
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,20,10,943,10.5,2,0,0,2,2,5,0,0.19,0.00,0.19,0.00,0.00,3.4,1.8,0.4,2.3,0.32,0.04,0.36,0.17,0.21,Matches,14,7,50.0,1.34,0.67,0.00,0.00,12.1,0,0.13,-1.4,-1.8,149,237,62.9,2052,331,92,135,68.1,44,74,59.5,7,17,41.2,-0.4,5,10,3,1,8,227,10,0,66,1,9,1,0,0,0,115,67,55,24,123,46,1,11,1,6,10,7,15,1.43,13,0,0,1,0,1,0.10,1,0,0,0,0,0,5,3,2,3,0,0,0.0,5,27,22.3,7,63,51,0,3,6,4,0,326,3,44,58.3,7,1,183,1,28,7,477,262,54.9,92,47,27.6,80,4,10,14,3,1.15,6,13,-7,-0.67,-0.78,10.6,13.3,-2.7,-0.26,-0.22,0,28,0,1,0,25,38,44,46.3,Big-5-European-Leagues,Big5,2018-2019
20,Luis AdvÃ­ncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,26.5,1,3,1,0,0,6,2,0.04,0.11,0.15,0.04,0.15,0.9,0.9,1.8,2.7,0.04,0.07,0.10,0.04,0.10,Matches,17,5,29.4,0.64,0.19,0.06,0.20,21.7,0,0.06,+0.1,+0.1,980,1204,81.4,17749,6575,464,506,91.7,413,487,84.8,96,172,55.8,+1.2,15,55,24,13,70,979,225,0,186,50,49,2,0,1,0,694,241,269,297,633,61,195,2,2,22,17,37,41,1.54,28,3,2,7,0,7,0.26,4,0,0,0,3,0,54,34,38,11,5,16,42.1,22,116,31.3,199,134,38,0,38,70,50,1,1470,82,31,62.1,45,1,987,5,32,32,1007,867,86.1,68,85,69.9,88,24,1,14,6,0.86,33,48,-15,-0.57,+0.66,30.1,40.1,-10.1,-0.38,-0.06,2,48,2,0,0,217,19,22,46.3,Big-5-European-Leagues,Big5,2018-2019
21,Martin Agirregabiria,es ESP,DF,AlavÃ©s,es La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.6,0.01,0.02,0.02,0.01,0.02,Matches,2,0,0.0,0.09,0.00,0.00,,18.5,0,0.07,-0.1,-0.1,673,968,69.5,11708,5682,311,366,85.0,301,410,73.4,56,159,35.2,-0.4,8,63,14,5,92,750,218,0,118,18,30,3,3,0,0,470,212,286,51,633,80,196,1,4,30,23,41,22,0.97,20,0,1,0,1,1,0.04,1,0,0,0,0,0,46,28,30,12,4,28,53.8,24,52,23.4,129,63,30,1,32,74,85,0,1208,88,8,71.8,29,1,642,4,18,14,635,570,89.8,27,75,59.4,88,18,4,5,4,1.37,24,30,-6,-0.27,+0.06,23.9,31.4,-7.5,-0.33,+0.07,0,24,0,0,0,208,19,23,45.2,Big-5-European-Leagues,Big5,2018-2019
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7,3,0,3,0,0,4,1,0.26,0.00,0.26,0.26,0.26,1.5,1.5,0.1,1.5,0.13,0.00,0.13,0.13,0.13,Matches,10,4,40.0,0.86,0.34,0.30,0.75,12.6,0,0.15,+1.5,+1.5,452,577,78.3,10088,4103,130,143,90.9,233,260,89.6,85,162,52.5,-0.1,2,37,3,1,24,539,38,0,83,20,1,0,0,0,0,386,41,150,452,68,24,21,3,3,17,9,10,6,0.51,4,1,1,0,0,0,0.00,0,0,0,0,0,0,20,14,11,9,0,6,35.3,11,38,27.7,82,50,5,0,15,24,95,1,735,74,10,83.3,5,0,469,0,2,4,470,453,96.4,6,81,30.7,87,10,1,2,7,0.85,11,17,-6,-0.51,+0.36,10.3,17.4,-7.1,-0.61,-0.06,0,20,0,0,0,90,30,12,71.4,Big-5-European-Leagues,Big5,2018-2019
23,Sergio AgÃ¼ero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,31,2459,27.3,21,8,19,2,2,4,0,0.77,0.29,1.06,0.70,0.99,19.6,18.1,5.3,23.4,0.72,0.19,0.91,0.66,0.86,Matches,113,41,36.3,4.14,1.50,0.17,0.46,14.2,3,0.16,+1.4,+0.9,653,774,84.4,9134,1599,391,446,87.7,207,240,86.3,27,39,69.2,+2.7,33,37,41,0,63,725,49,3,198,3,15,1,0,0,0,590,124,60,72,656,20,8,10,3,9,18,22,72,2.64,49,1,6,7,1,17,0.62,12,0,2,1,2,0,17,14,2,6,9,3,30.0,7,117,26.8,26,153,258,0,14,28,2,0,1137,5,245,58.9,36,4,858,36,73,66,1387,885,63.8,346,75,71.9,78,8,2,27,1,2.61,72,15,+57,+2.09,+0.68,60.0,18.7,+41.3,+1.51,+0.07,0,22,0,0,0,126,13,17,43.3,Big-5-European-Leagues,Big5,2018-2019
24,Ruben Aguilar,fr FRA,"DF,MF",Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14,Matches,13,4,30.8,0.46,0.14,0.08,0.25,21.7,0,0.06,+0.3,+0.3,1328,1642,80.9,22716,9218,666,747,89.2,541,646,83.7,112,204,54.9,+0.8,46,77,47,24,145,1355,287,0,286,36,81,1,0,0,0,998,305,339,68,1233,41,274,9,9,19,32,59,98,3.49,74,7,5,7,3,9,0.32,5,0,1,1,1,1,97,55,39,35,23,36,48.0,39,160,28.8,235,247,73,0,40,123,48,2,1973,68,36,73.4,59,2,1309,13,38,38,1366,1194,87.4,70,87,73.9,87,26,0,,0,1.52,39,30,+9,+0.32,+0.12,34.8,32.8,+2.0,+0.07,+0.07,0,38,0,1,0,269,25,28,47.2,Big-5-European-Leagues,Big5,2018-2019
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.13,0.01,0.15,0.13,0.15,Matches,3,1,33.3,0.78,0.26,0.00,0.00,17.8,0,0.17,-0.5,-0.5,163,185,88.1,2694,771,87,95,91.6,65,73,89.0,11,17,64.7,0.0,1,16,3,1,11,181,4,0,18,7,2,0,0,0,0,148,15,22,15,158,10,0,0,1,2,3,1,5,1.31,5,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,0,1,1,1,8.3,11,8,19.5,8,27,6,0,4,4,3,0,212,4,4,50.0,2,0,156,1,2,2,167,150,89.8,4,57,10.1,64,1,2,45,20,0.17,1,5,-4,-1.05,-0.52,3.5,5.2,-1.7,-0.44,-0.17,0,3,0,1,0,37,2,4,33.3,Big-5-European-Leagues,Big5,2018-2019
