No.,qualifierTypeName,qualifierTypeId,Values,Definition,Qualifier Category,Associated Event Type (typeName)
137,Keeper Saved,137,,Shot going wide or over the goal but still collected/saved by the goalkeeper with event type 15,Shot Descriptors,"13, 14, 15, 16"
138,Hit Woodwork,138,,Any shot which hits the post or crossbar,Shot Descriptors,"13, 14, 15, 16"
139,Own Player,139,,Shot saved by goalkeeper that was deflected by a defender,Goalkeeper Events,"13, 14, 15, 16"
140,Pass End X,140,0-100,The x pitch coordinate for the end point of a pass - See Appendix 5,Pass Events,1
141,Pass End Y,141,0-100,The y pitch coordinate for the end point of a pass - See Appendix 5,Pass Events,1
142,,,,,,
143,,,,,,
144,Deleted Event Type,144,Event ID,An event which should be removed. Value will show the ID of this event,General,
145,Formation slot,145,1 to 11,Formation position of a player coming on - see appendix 8,Line Up / Subs / Formation,"32, 34, 35, 36, 40"
146,Blocked X Coordinate,146,0-100,The x pitch coordinate for where a shot was blocked,Shot Location Descriptors,
147,Blocked Y Coordinate,147,0-100,The y pitch coordinate for where a shot was blocked,Shot Location Descriptors,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,Not past goal line,153,,Shot missed which does not pass the goal line,Shot Descriptors,"13, 14, 15, 16"
154,Intentional Assist,154,,"Shot from an intentional assist i.e. The assisting player intended the pass, no deflection etc",Pattern of Play,"13, 14, 15, 16"
155,Chipped,155,,Pass which was chipped into the air,Pass Events,1
156,Lay-off,156,,Pass where player laid the ball into the path of a teammates run,Pass Events,1
157,Launch,157,,Pass played from a player’s own half up towards front players. Aimed to hit a zone rather than a specific player,Pass Events,1
158,Persistent Infringement,158,,Card shown to player for persistent fouls,Foul & Card Events,4
159,Foul and Abusive Language,159,,Card shown for player using foul language,Foul & Card Events,4
160,Throw In set piece,160,,Shot came from a throw-in set piece,Pattern of Play,"13, 14, 15, 16"
161,Encroachment,161,,Card shown for player who moves within 10 yards of an opponent’s free kick,Foul & Card Events,4
162,Leaving field,162,,Card shown for player leaving the field without permission,Foul & Card Events,4
163,Entering field,163,,Card shown for player entering the field during play without referee's permission,Foul & Card Events,4
164,Spitting,164,,Card shown for spitting,Foul & Card Events,4
165,Professional foul,165,,Card shown for a deliberate tactical foul,Foul & Card Events,4
166,Handling on the line,166,,Card shown to an outfield player for using their hand to keep the ball out of the goal,Foul & Card Events,4
167,Out of play,167,,Tackle or clearance event sent the ball out of play,Defensive Events,
168,Flick-on,168,,"Pass where a player has ""flicked"" the ball forward using their head",Pass Events,1
169,Leading to attempt,169,,"A player error, event 51, which leads to an opponent shot on goal",Defensive Events,
170,Leading to goal,170,,"A player error, event 51, which lead to an opponent scoring a goal",Defensive Events,
171,Rescinded Card,171,,Referee rescind a card post match,Foul & Card Events,4
172,No impact on timing,172,,Player booked on bench but who hasn't played any minutes in the match,Foul & Card Events,4
173,Parried safe,173,,Goalkeeper save where shot is parried to safety,Goalkeeper Events,"10, 11, 12"
174,Parried danger,174,,Goalkeeper save where shot is parried but only to another opponent,Goalkeeper Events,"10, 11, 12"
175,Fingertip,175,,Goalkeeper save using his fingertips,Goalkeeper Events,"10, 11, 12"
176,Caught,176,,Goalkeeper catches the ball,Goalkeeper Events,"10, 11, 12"
177,Collected,177,,Goalkeeper save and collects possession of the ball,Goalkeeper Events,"10, 11, 12"
178,Standing,178,,Goalkeeper save while standing,Goalkeeper Events,"10, 11, 12"
179,Diving,179,,Goalkeeper save while diving,Goalkeeper Events,"10, 11, 12"
180,Stooping,180,,Goalkeeper saves while stooping,Goalkeeper Events,"10, 11, 12"
181,Reaching,181,,Goalkeeper save where goalkeeper reaches for the ball,Goalkeeper Events,"10, 11, 12"
182,Hands,182,,Goalkeeper saves with his hands,Goalkeeper Events,"10, 11, 12"
183,Feet,183,,Goalkeeper save using his feet,Goalkeeper Events,"10, 11, 12"
184,Dissent,184,,Cad shown when a player does not obey referee instructions,Foul & Card Events,4
185,Blocked cross,185,,Clearance; cross is blocked,Defensive Events,
186,Scored,186,,Goalkeeper event - shots faced and not saved resulting in goal,Goalkeeper Events,"10, 11, 12"
187,Saved,187,,Goalkeeper event - shots faced and saved,Goalkeeper Events,"10, 11, 12"
188,Missed,188,,Goalkeeper event - shot faced which went wide or over. Did not require a save.,Goalkeeper Events,"10, 11, 12"
189,Player Not Visible,189,,Broadcast footage showing replay and not live footage – this event is what Opta analysts believe occurred.,General,
190,From shot off target,190,,Used with Event 10. Indicates a shot was saved by the goalkeeper but in fact the shot was going wide and not on target,Goalkeeper Events,"10, 11, 12"
191,Off the ball foul,191,,Foul committed by and on a player who is not in possession of the ball,Foul & Card Events,4
192,Block by hand,192,,Outfield player blocks a shot with their hand,Foul & Card Events,4
193,,,,,,
194,Captain,194,Player ID,ID of the player who is the team captain,Line Up / Subs / Formation,"32, 34, 35, 36, 40"
195,Pull Back,195,,Player in opposition’s penalty box reaches the by-line and passes (cuts) the ball backwards to a teammate,Pass Events,1
196,Switch of play,196,,Any pass which crosses the centre zone of the pitch and in length is greater than 60 on the y axis of the pitch,Pass Events,1
197,Team kit,197,Kit ID,Kit of the team,Line Up / Subs / Formation,"32, 34, 35, 36, 40"
198,GK hoof,198,,Goalkeeper drops the ball on the ground and kicks it long towards a position rather than a specific player,Goalkeeper Events,"10, 11, 12"
199,Gk kick from hands,199,,Goalkeeper kicks the ball forward straight out of his hands,Goalkeeper Events,"10, 11, 12"
200,Referee stop,200,,Referee stops play,Referee,
201,Referee delay,201,,Delay in play instructed by referee,Referee,
202,Weather problem,202,,Bad weather stops or interrupts play,Stoppages,27
203,Crowd trouble,203,,Trouble within the crowd stops or delays play,Stoppages,27
204,Fire,204,,Fire with the stadium stops or delays play,Stoppages,27
205,Object thrown on pitch,205,,Object throw from the crowd lands on the pitch and delays play,Stoppages,27
206,Spectator on pitch,206,,Spectator comes onto the pitch and forces a delay in play,Stoppages,27
207,Awaiting officials decision,207,,Given to an event/delay where the referee still has to make a decision,Stoppages,27
208,Referee Injury,208,,Referee sustained injury causing stoppage in play,Referee / Stoppages,27
209,Game end,209,,The game is finished,General,
210,Assist,210,,The pass was an assist for a shot. The type of shot then dictates whether it was a goal assist or just key pass.,Pass Events,1
211,Overrun,211,,TAKE ON (3) – where a player takes on an opponent but the ball runs away from them out of play or to an opponent.,General,
212,Length,212,Dynamic - yards of pitch,The estimated length the ball has travelled during the associated event.,Pass Events,1
213,Angle,213,0 to 6.28 (Radians),The angle the ball travels at during an event relative to the direction of play. Shown in radians.,Pass Events,1
214,Big Chance,214,,Shot was deemed by Opta analysts an excellent opportunity to score – clear cut chance eg one on one,Shot Descriptors,"13, 14, 15, 16"
215,Individual Play,215,,"Player created the chance to shoot by himself, not assisted. For example he dribbled to create space for himself and shot.",Shot Descriptors,"13, 14, 15, 16"
216,2nd related event ID,216,Event_id,"If there was a 2nd assist, i.e a pass to create the opportunity for the player making the assist. MLS and German Bundesliga 1 & 2.",Pattern of Play,"13, 14, 15, 16"
217,2nd assisted,217,,Indicates that this shot had a significant pass to create the opportunity for the pass which led to a goal,Shot Descriptors,"13, 14, 15, 16"
218,2nd assist,218,,Pass was deemed a 2nd assist - created the opportunity for another player to assist a goal,Pass Events,1
219,Players on both posts,219,,Assigned to event 6 indicating there were defensive players on both posts when a corner was taken,Pass Events,1
220,Player on near post,220,,Assigned to event 6 indicating there was a defensive player on only the near post when a corner was taken,Pass Events,1
221,Player on far post,221,,Assigned to event 6 indicating there was a defensive player on only the far post when corner was taken,Pass Events,1
222,No players on posts,222,,Assigned to event 6 indicating there were no defensive players on either post when a corner was taken,Pass Events,1
223,Inswinger,223,,Corner was crossed into the box swerving towards the goal,Pass Events,1
224,Outswinger,224,,Corner was crossed into the box swerving away from the goal,Pass Events,1
225,Straight,225,,Corner was crossed into the box with a straight ball flight,Pass Events,1
226,Suspended,226,,Game is has not finished but is suspended,Stoppages,27
227,Resume,227,,Game has resumed after being suspended mid-way through on a previous date,Stoppages,27
228,Own shot blocked,228,,Player blocks an attacking shot unintentionally from their teammate,Shot Descriptors,"13, 14, 15, 16"
229,Post match complete,229,,Opta post match quality control has been completed on this match,General,
