Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,2009-08-22,Hull,Bolton,1,0,H,0,0,D,M Jones,12,20,5,10,19,19,4,12,3,2,0,0,2.6,3.25,2.8,2.35,3.1,2.85,2.5,3.2,2.75,2.3,3.25,2.95,2.5,3.25,2.8,2.35,3.2,2.75,2.5,3.2,2.88,2.38,3.25,3,2.4,3.25,2.8,2.5,3.2,2.88,37,2.68,2.46,3.4,3.22,3,2.84,30,2.15,2.04,1.83,1.73,21,0,1.88,1.75,2.12,2
E0,2009-08-22,Man City,Wolves,1,0,H,1,0,H,L Mason,16,10,11,2,7,11,5,6,0,1,0,0,1.33,4.5,12,1.25,4.85,10.5,1.33,4.5,10,1.35,4.5,8.5,1.33,5,9,1.25,5,10,1.36,4.33,10,1.33,4.5,11,1.33,4.5,9,1.36,4.5,10,38,1.37,1.32,5.5,4.73,12.17,10.25,29,1.77,1.68,2.25,2.12,21,0,1.09,1.06,9.5,7.65
E0,2009-08-22,Sunderland,Blackburn,2,1,H,1,1,D,A Wiley,8,18,5,5,12,14,0,10,2,1,0,0,2.1,3.25,3.75,2,3.2,3.45,2,3.25,3.75,2.1,3.25,3.4,2.1,3.6,3.25,2,3.25,3.4,2.1,3.2,3.6,2,3.3,3.8,2,3.2,3.75,2.1,3.2,3.6,37,2.16,2.07,3.4,3.22,3.86,3.6,30,2.25,2.08,1.79,1.7,21,0,1.54,1.48,2.76,2.54
E0,2009-08-22,Wigan,Man United,0,5,A,0,0,D,H Webb,16,16,7,13,11,8,3,5,2,2,0,0,6.5,4,1.53,6,3.6,1.52,6.5,3.75,1.53,5.6,3.6,1.6,7,4,1.5,5.75,3.8,1.5,7,3.75,1.53,7,4,1.5,7,3.75,1.5,6.5,4,1.53,38,7.1,6.48,4.08,3.83,1.6,1.53,30,2.14,1.97,1.86,1.79,21,0,5.05,4.68,1.2,1.16
E0,2009-08-23,Burnley,Everton,1,0,H,1,0,H,P Dowd,8,17,4,11,11,13,3,7,1,0,0,0,3.4,3.3,2.2,3.1,3.2,2.15,3.3,3.25,2.15,3,3.2,2.3,3.2,3.2,2.3,3,3.2,2.2,3.2,3.3,2.25,3.25,3.3,2.2,3,3.25,2.25,3.3,3.2,2.25,37,3.63,3.34,3.37,3.25,2.25,2.17,29,2.21,2.03,1.85,1.74,19,0,2.65,2.35,1.62,1.56
E0,2009-08-23,Fulham,Chelsea,0,2,A,0,1,A,A Marriner,4,12,1,4,11,10,4,7,0,0,0,0,6.5,3.8,1.57,6.25,3.6,1.5,6.5,3.6,1.55,6,3.7,1.55,7,3.75,1.53,5.5,3.5,1.57,7,3.5,1.57,6.5,3.75,1.57,6.5,3.75,1.5,6.5,3.6,1.57,37,7.12,6.35,4.02,3.7,1.62,1.56,29,2.08,1.95,1.93,1.8,19,0,5.05,4.51,1.2,1.17
E0,2009-08-23,West Ham,Tottenham,1,2,A,0,0,D,M Clattenburg,17,17,8,10,13,11,4,8,2,1,0,0,3.1,3.25,2.38,2.85,3.25,2.25,3,3.25,2.3,3.05,3.2,2.25,3,3.25,2.38,2.8,3.3,2.25,3.1,3.3,2.3,3.1,3.3,2.3,3,3.25,2.3,3.1,3.2,2.38,38,3.37,3.03,3.44,3.27,2.45,2.31,29,2,1.9,1.96,1.85,20,0,2.38,2.16,1.75,1.65
E0,2009-08-24,Liverpool,Aston Villa,1,3,A,0,2,A,M Atkinson,21,7,12,4,15,11,10,4,3,2,0,0,1.44,4.2,8,1.4,4,7.25,1.42,4,8,1.4,4.3,7.5,1.4,4.5,8,1.45,3.75,7,1.44,4,8,1.44,4.33,7.5,1.4,4,8,1.44,4,8,35,1.46,1.43,4.7,4.09,9.6,7.87,28,1.92,1.82,2.06,1.93,19,0,1.13,1.11,6.63,5.85
E0,2009-08-29,Blackburn,West Ham,0,0,D,0,0,D,P Dowd,19,11,9,5,13,18,5,2,1,3,0,0,2.2,3.3,3.5,2.1,3.2,3.2,2.1,3.2,3.5,2.2,3.2,3.2,2.1,3.2,3,2.2,3.2,3,2.2,3.2,3.4,2.2,3.25,3.3,2.2,3.2,3.2,2.2,3.2,3.2,37,2.3,2.18,3.4,3.23,3.72,3.31,30,2.38,2.21,1.69,1.62,22,0,1.65,1.57,2.56,2.32
E0,2009-08-29,Bolton,Liverpool,2,3,A,1,1,D,A Wiley,8,26,5,14,14,7,5,11,3,1,1,0,7,4,1.53,6,3.75,1.5,6,3.75,1.55,6,3.7,1.55,5,3.5,1.57,5.5,3.6,1.55,7,3.75,1.53,6,3.8,1.57,6,3.6,1.57,5,4,1.57,37,7.1,6.29,4.25,3.79,1.58,1.55,30,1.98,1.88,2.01,1.87,22,0,5.05,4.47,1.2,1.17
E0,2009-08-29,Chelsea,Burnley,3,0,H,1,0,H,M Clattenburg,27,3,17,0,7,5,10,1,0,1,0,0,1.14,8,21,1.1,8,15,1.15,7,15,1.17,6,15,1.14,6,12,1.12,7,15,1.14,7,21,1.14,7.5,19,1.14,6.5,17,1.12,7,21,37,1.17,1.14,9.3,7.28,24,17.87,30,1.55,1.49,2.72,2.5,21,0,1.01,1.01,15,12.74
E0,2009-08-29,Man United,Arsenal,2,1,H,0,1,A,M Dean,10,9,4,3,21,15,6,5,3,6,0,0,2.2,3.3,3.5,2.05,3.3,3.2,2.1,3.25,3.4,2,3.3,3.6,2,3,3.5,2.1,3.2,3.2,2.15,3.2,3.5,2.1,3.25,3.6,2.1,3.2,3.4,2.15,3.2,3.4,37,2.28,2.13,3.43,3.26,3.6,3.4,30,2.13,2.04,1.85,1.72,22,0,1.62,1.52,2.5,2.42
E0,2009-08-29,Stoke,Sunderland,1,0,H,1,0,H,M Jones,13,9,7,6,9,8,10,10,0,2,0,0,2.38,3.25,3.2,2.3,3.2,2.8,2.3,3.25,3,2.3,3.2,3,2.2,3.2,2.8,2.3,3.2,2.8,2.38,3.1,3.1,2.38,3.25,3,2.2,3.2,3.2,2.38,3.2,2.88,37,2.48,2.34,3.3,3.21,3.24,3.01,30,2.4,2.24,1.67,1.6,22,0,1.74,1.67,2.25,2.13
E0,2009-08-29,Tottenham,Birmingham,2,1,H,0,0,D,P Walton,20,11,14,6,12,10,7,3,2,2,0,0,1.36,4.75,9,1.35,4.25,8,1.38,4.6,7.5,1.35,4.5,8.5,1.33,4,8,1.33,4.33,8.5,1.33,4.6,10,1.36,4.33,10,1.36,4.33,9,1.33,4.33,10,37,1.4,1.36,5.1,4.47,11.02,9.08,30,1.79,1.72,2.22,2.05,22,0,1.1,1.08,7.5,6.84
E0,2009-08-29,Wolves,Hull,1,1,D,0,1,A,S Attwell,24,5,17,4,11,15,8,2,0,2,0,0,2.1,3.3,3.6,2,3.15,3.5,2.05,3.25,3.5,2.2,3.2,3.2,2.1,3.2,3,2.1,3.2,3.2,2.1,3.25,3.6,2.1,3.25,3.6,2,3.3,3.6,2.1,3.2,3.4,37,2.17,2.09,3.48,3.26,3.76,3.48,30,2.19,2.08,1.79,1.7,22,0,1.56,1.48,2.65,2.5
E0,2009-08-30,Aston Villa,Fulham,2,0,H,1,0,H,S Bennett,9,6,4,3,9,9,9,4,1,2,0,0,1.73,3.6,5.25,1.65,3.5,4.75,1.73,3.5,4.75,1.77,3.45,4.45,1.73,3.4,4,1.7,3.4,4.5,1.73,3.4,5.25,1.73,3.5,5,1.7,3.4,5,1.73,3.4,5,38,1.8,1.73,3.71,3.47,5.54,4.91,30,2.25,2.1,1.75,1.68,22,0,1.3,1.27,3.85,3.5
E0,2009-08-30,Everton,Wigan,2,1,H,0,0,D,L Probert,26,12,14,7,11,24,12,5,1,5,0,0,1.73,3.6,5.25,1.65,3.4,5,1.75,3.5,4.5,1.7,3.5,4.9,1.8,3.2,4,1.7,3.4,4.5,1.75,3.3,5.25,1.73,3.5,5,1.75,3.4,4.5,1.73,3.25,5,37,1.8,1.73,3.75,3.49,5.45,4.87,30,2.16,2.06,1.85,1.71,21,0,1.33,1.28,3.85,3.45
E0,2009-08-30,Portsmouth,Man City,0,1,A,0,1,A,H Webb,11,12,6,8,12,7,3,11,2,1,0,0,6.5,3.8,1.57,6,3.7,1.5,6.25,3.6,1.57,5.3,3.5,1.65,4.5,3.5,1.62,5.75,3.6,1.53,6,3.8,1.57,6.5,3.75,1.57,5.5,3.6,1.62,5.5,3.75,1.57,37,6.84,5.99,4.01,3.67,1.65,1.58,30,2.04,1.94,1.92,1.81,21,0,4.65,4.29,1.21,1.18
E0,2009-09-12,Blackburn,Wolves,3,1,H,1,0,H,S Bennett,13,9,10,5,13,16,10,6,1,2,0,0,1.83,3.5,4.5,1.85,3.25,4,1.85,3.4,4.1,1.85,3.4,4,1.83,3.4,4.5,1.8,3.25,4.2,1.85,3.3,4.5,1.8,3.5,4.5,1.85,3.3,4.33,1.83,3.3,4.75,40,1.88,1.84,3.61,3.4,5.1,4.41,31,2.25,2.13,1.76,1.66,21,0,1.38,1.33,3.59,3.13
E0,2009-09-12,Liverpool,Burnley,4,0,H,2,0,H,L Mason,27,6,16,3,8,10,7,5,0,2,0,0,1.2,6.5,15,1.2,5.55,11,1.2,6,13,1.22,5.3,13,1.17,7,15,1.13,6.6,15,1.17,6.5,17,1.18,6.5,15,1.2,5.5,15,1.2,6,17,40,1.21,1.19,7.3,6.31,23,15.25,31,1.68,1.6,2.38,2.24,19,0,1.04,1.02,15.28,11.71
E0,2009-09-12,Man City,Arsenal,4,2,H,1,0,H,M Clattenburg,10,19,6,9,13,12,3,12,3,2,0,0,2.88,3.25,2.5,2.8,3.2,2.3,2.8,3.25,2.45,2.7,3.2,2.5,3,3.25,2.38,2.7,3.25,2.35,2.9,3.3,2.4,2.75,3.3,2.5,2.9,3.2,2.4,2.9,3.25,2.4,40,3.05,2.83,3.41,3.25,2.61,2.47,31,2,1.89,1.98,1.86,23,0,2.19,2.01,1.88,1.77
E0,2009-09-12,Portsmouth,Bolton,2,3,A,1,2,A,C Foy,21,14,11,6,17,17,7,5,2,0,0,0,2.6,3.2,2.8,2.5,3.15,2.6,2.5,3.2,2.75,2.4,3.2,2.85,2.6,3.25,2.7,2.5,3.2,2.6,2.5,3.2,2.88,2.5,3.2,2.88,2.5,3.2,2.7,2.4,3.25,2.9,33,2.64,2.51,3.3,3.2,3.02,2.82,27,2.33,2.19,1.7,1.63,18,0,1.84,1.79,2.15,2.01
E0,2009-09-12,Stoke,Chelsea,1,2,A,1,1,D,M Dean,4,18,2,10,13,11,4,14,3,3,0,0,9,4.5,1.4,7.25,4,1.4,9,4,1.4,7.5,4.3,1.4,8,4.5,1.4,8,4.2,1.35,9,4.6,1.36,8.5,4.33,1.4,8.5,4,1.4,8.5,4.33,1.4,40,9.9,8.52,4.84,4.33,1.42,1.39,31,2.09,1.94,1.9,1.81,20,0,7,6.32,1.12,1.1
E0,2009-09-12,Sunderland,Hull,4,1,H,1,1,D,M Atkinson,7,6,4,5,18,15,7,8,2,2,0,0,1.75,3.5,5,1.75,3.25,4.5,1.77,3.3,4.75,1.8,3.4,4.3,1.8,3.25,5,1.7,3.4,4.5,1.75,3.3,5.25,1.8,3.5,4.5,1.8,3.3,4.5,1.75,3.4,5,40,1.85,1.76,3.68,3.46,5.5,4.81,31,2.2,2.08,1.78,1.69,21,0,1.33,1.3,3.75,3.34
E0,2009-09-12,Tottenham,Man United,1,3,A,1,2,A,A Marriner,11,17,7,13,16,13,3,9,3,2,0,1,3.1,3.4,2.3,3,3.2,2.2,3.1,3.2,2.25,3,3.1,2.35,3.1,3.4,2.25,2.85,3.4,2.2,3.1,3.3,2.3,3.25,3.3,2.2,3,3.3,2.25,3.1,3.25,2.3,39,3.35,3.14,3.61,3.32,2.33,2.24,31,2.01,1.91,1.94,1.84,23,0,2.43,2.24,1.65,1.6
E0,2009-09-12,Wigan,West Ham,1,0,H,0,0,D,A Wiley,12,12,6,5,13,11,6,7,2,1,0,0,2.3,3.25,3.25,2.15,3.25,3.05,2.3,3.25,3,2.2,3.2,3.2,2.25,3.3,3.2,2.2,3.2,3,2.25,3.2,3.25,2.25,3.25,3.25,2.2,3.25,3.1,2.3,3.2,3.1,40,2.44,2.27,3.4,3.25,3.34,3.14,31,2.45,2.25,1.68,1.6,22,0,1.71,1.63,2.34,2.19
E0,2009-09-13,Birmingham,Aston Villa,0,1,A,0,0,D,H Webb,11,12,7,5,10,20,7,1,1,2,0,0,3.4,3.25,2.25,3,3.2,2.2,3.2,3.2,2.2,3,3.2,2.3,3.3,3.2,2.25,3.2,3.2,2.1,3.4,3.2,2.2,3.25,3.25,2.25,3.1,3.2,2.25,3.1,3.2,2.3,40,3.69,3.28,3.4,3.25,2.3,2.2,30,2.35,2.18,1.72,1.63,21,0,2.52,2.32,1.62,1.56
E0,2009-09-13,Fulham,Everton,2,1,H,0,1,A,P Walton,14,6,8,6,6,10,5,3,1,0,0,0,2.6,3.2,2.8,2.4,3.15,2.7,2.6,3.1,2.7,2.4,3.2,2.85,2.5,3.3,2.8,2.3,3.2,2.8,2.62,3.2,2.7,2.6,3.2,2.75,2.6,3.2,2.62,2.5,3.2,2.8,40,2.74,2.53,3.3,3.2,3.1,2.78,30,2.55,2.24,1.65,1.6,22,0,1.94,1.81,2.05,1.96
E0,2009-09-19,Arsenal,Wigan,4,0,H,1,0,H,M Jones,23,8,11,5,6,18,6,4,2,2,0,0,1.25,5.5,13,1.25,5,10,1.22,5.5,13,1.22,5.3,13,1.22,6.5,11,1.2,5.2,13,1.22,5.5,15,1.22,5.5,15,1.25,5.5,10,1.29,4.75,12,39,1.29,1.24,6,5.47,16.43,12.96,32,1.66,1.6,2.4,2.24,21,0,1.06,1.04,12.29,10.13
E0,2009-09-19,Aston Villa,Portsmouth,2,0,H,2,0,H,S Attwell,7,17,5,12,17,12,7,5,2,0,0,0,1.4,4.2,10,1.35,4,9,1.4,4,9,1.43,4,7.6,1.36,4.5,9,1.33,4.2,9,1.4,4.2,9,1.4,4.1,9.5,1.4,4,8.5,1.44,3.8,9,39,1.44,1.4,4.5,4.13,11.38,9.09,32,1.93,1.84,2.01,1.91,22,0,1.1,1.08,8,6.83
E0,2009-09-19,Bolton,Stoke,1,1,D,0,0,D,M Clattenburg,11,10,5,6,6,11,4,6,2,2,0,0,2.1,3.25,3.75,2,3.15,3.5,2.05,3.25,3.5,2.1,3.25,3.4,2.1,3.25,3.6,2.05,3.2,3.3,2.05,3.25,3.75,2.1,3.25,3.6,2.1,3.2,3.4,2.1,3.1,3.75,39,2.17,2.09,3.32,3.24,3.96,3.55,32,2.27,2.12,1.74,1.67,22,0,1.54,1.49,2.83,2.52
E0,2009-09-19,Burnley,Sunderland,3,1,H,1,1,D,C Foy,10,8,3,5,4,15,4,4,0,3,0,0,2.88,3.25,2.5,2.7,3.2,2.4,2.75,3.2,2.5,2.55,3.2,2.65,2.8,3.3,2.5,2.65,3.1,2.5,2.88,3.2,2.5,2.75,3.3,2.5,2.7,3.2,2.5,2.9,3.2,2.4,39,2.99,2.76,3.3,3.22,3.1,2.53,32,2.19,2.09,1.78,1.69,22,0,2.1,2,1.92,1.79
E0,2009-09-19,Hull,Birmingham,0,1,A,0,0,D,P Dowd,16,14,11,9,15,13,10,8,0,2,0,0,2.4,3.25,3,2.3,3.1,2.9,2.4,3.2,2.85,2.3,3.2,3,2.3,3.3,3.1,2.3,3.2,2.8,2.38,3.25,3,2.38,3.25,3,2.4,3.2,2.9,2.4,3.2,3,39,2.53,2.35,3.3,3.22,3.25,3.01,32,2.4,2.17,1.68,1.64,23,0,1.78,1.7,2.18,2.1
E0,2009-09-19,West Ham,Liverpool,2,3,A,2,2,D,A Marriner,8,19,5,15,13,17,4,4,3,3,0,0,6.5,4,1.53,6.25,3.95,1.45,6,4,1.5,6,3.7,1.55,6,3.75,1.57,6,3.75,1.5,6.5,3.8,1.53,6.5,4,1.53,6.5,3.6,1.53,6,3.75,1.57,39,6.76,6.32,4.16,3.8,1.59,1.54,32,2.01,1.88,1.95,1.87,22,0,5.05,4.57,1.2,1.17
E0,2009-09-20,Chelsea,Tottenham,3,0,H,1,0,H,H Webb,25,9,15,4,7,9,11,3,0,2,0,0,1.5,4,7,1.4,4.05,7,1.5,3.75,7,1.55,3.7,6,1.5,4,7,1.45,3.9,6.5,1.44,4.2,7.5,1.53,4,6.5,1.5,3.6,6.5,1.5,3.8,7,39,1.53,1.49,4.31,3.93,8.16,7.04,31,1.93,1.82,2.02,1.94,21,-1,1.93,1.86,2.06,2
E0,2009-09-20,Everton,Blackburn,3,0,H,1,0,H,L Mason,18,7,11,4,15,18,6,2,1,2,0,0,1.8,3.3,5,1.65,3.4,5,1.75,3.3,5,1.75,3.5,4.6,1.8,3.5,4.5,1.7,3.4,4.5,1.8,3.4,4.6,1.8,3.5,4.5,1.83,3.25,4.33,1.83,3.3,4.5,39,1.84,1.77,3.5,3.4,5.37,4.75,31,2.1,1.97,1.92,1.78,21,0,1.35,1.3,3.59,3.26
E0,2009-09-20,Man United,Man City,4,3,H,1,1,D,M Atkinson,21,10,11,6,15,14,11,1,2,2,0,0,1.57,4,6,1.6,3.55,5.1,1.6,3.75,5.5,1.6,3.6,5.6,1.62,3.75,5.5,1.57,3.6,5.25,1.62,3.75,5.5,1.62,3.75,5.5,1.6,3.6,5.5,1.57,3.75,6,38,1.62,1.59,4.3,3.82,6.55,5.59,31,1.93,1.82,2.04,1.93,21,0,1.22,1.2,4.55,4.09
E0,2009-09-20,Wolves,Fulham,2,1,H,1,0,H,K Friend,12,3,4,1,14,11,3,3,1,1,0,0,2.5,3.25,2.88,2.4,3.1,2.75,2.5,3.2,2.75,2.4,3.2,2.85,2.6,3.3,2.62,2.5,3.2,2.6,2.5,3.2,2.88,2.5,3.25,2.8,2.5,3.2,2.7,2.5,3.2,2.75,39,2.7,2.51,3.45,3.21,2.96,2.79,31,2.33,2.2,1.67,1.62,21,0,1.92,1.8,2.08,1.99
