,Player,Weekly GrossBase Salary(IN USD),Annual GrossBase Salary(IN USD),Pos.,Age,RosterStatus,Expiration,Length,EstimatedGross Total(IN USD),Team,League,Season
3,Danny Hoesen,"$ 12,500","$ 650,000",CF,30,Starter,"Dec 31, 2021",1-yr,"$ 650,000",Austin,Mls,2021
4,Tomás Pochettino,"$ 11,201","$ 582,447",CM,25,Starter,"Dec 31, 2021",1-yr,"$ 582,447",Austin,Mls,2021
5,Jhohan Romaña,"$ 8,077","$ 420,000",CB,22,Starter,"Dec 31, 2021",1-yr,"$ 420,000",Austin,Mls,2021
6,Diego Fagúndez,"$ 7,692","$ 400,000",LW,26,Starter,"Dec 31, 2021",1-yr,"$ 400,000",Austin,Mls,2021
7,Rodney Redes,"$ 7,404","$ 385,000",RW,21,Reserve,"Dec 31, 2021",1-yr,"$ 385,000",Austin,Mls,2021
8,Nick Lima,"$ 6,731","$ 350,000",RB,26,Starter,"Dec 31, 2021",1-yr,"$ 350,000",Austin,Mls,2021
9,Julio Cascante,"$ 5,577","$ 290,000",CB,27,Reserve,"Dec 31, 2021",1-yr,"$ 290,000",Austin,Mls,2021
10,Andrew Tarbell,"$ 5,288","$ 275,000",GK,27,Reserve,"Dec 31, 2021",1-yr,"$ 275,000",Austin,Mls,2021
11,Ben Sweat,"$ 4,808","$ 250,000",LB,29,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Austin,Mls,2021
12,Héctor Jiménez,"$ 4,808","$ 250,000",LB,32,Reserve,"Dec 31, 2021",1-yr,"$ 250,000",Austin,Mls,2021
13,Ulises Segura,"$ 4,615","$ 240,000",AM,27,Reserve,"Dec 31, 2021",1-yr,"$ 240,000",Austin,Mls,2021
14,Zan Kolmanic,"$ 4,327","$ 225,000",LB,21,Starter,"Dec 31, 2021",1-yr,"$ 225,000",Austin,Mls,2021
15,Aaron Schoenfeld,"$ 4,038","$ 210,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 210,000",Austin,Mls,2021
16,Brad Stuver,"$ 2,885","$ 150,000",GK,30,Starter,"Dec 31, 2021",1-yr,"$ 150,000",Austin,Mls,2021
17,Manny Perez,"$ 2,692","$ 140,000",RM,22,Reserve,"Nov 30, 2021",1-yr,"$ 140,000",Austin,Mls,2021
18,Sebastian Berhalter,"$ 1,635","$ 85,000",CM,20,Reserve,"Dec 31, 2021",1-yr,"$ 85,000",Austin,Mls,2021
19,Daniel Pereira,"$ 1,565","$ 81,375",AM,20,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Austin,Mls,2021
20,Kekuta Manneh,"$ 1,565","$ 81,375",LW,26,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Austin,Mls,2021
21,Jared Stroud,"$ 1,565","$ 81,375",LW,24,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Austin,Mls,2021
22,Jon Gallagher,"$ 1,565","$ 81,375",RW,25,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Austin,Mls,2021
23,Aedan Stanley,"$ 1,222","$ 63,547",LB,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Austin,Mls,2021
24,Will Pulisic,"$ 1,222","$ 63,547",GK,23,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Austin,Mls,2021
0,Robert Beric,"$ 43,750","$ 2,274,996",CF,29,Starter,"Dec 31, 2021",1-yr,"$ 2,274,996",Chicago Fire,Mls,2021
1,Gastón Giménez,"$ 39,577","$ 2,058,000",DM,29,Starter,"Dec 31, 2021",1-yr,"$ 2,058,000",Chicago Fire,Mls,2021
2,Álvaro Medrán,"$ 19,231","$ 1,000,000",CM,27,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Chicago Fire,Mls,2021
3,Francisco Calvo,"$ 15,962","$ 830,000",CB,28,Starter,"Dec 31, 2021",1-yr,"$ 830,000",Chicago Fire,Mls,2021
4,Przemyslaw Frankowski,"$ 12,981","$ 675,000",RW,26,Starter,"Dec 31, 2022",2-yrs,"$ 1,350,000",Chicago Fire,Mls,2021
5,Ignacio Aliseda,"$ 11,538","$ 600,000",LW,21,Reserve,"Dec 31, 2023",3-yrs,"$ 1,800,000",Chicago Fire,Mls,2021
6,Boris Sekulic,"$ 10,981","$ 571,000",RB,29,Starter,"Dec 31, 2022",2-yrs,"$ 1,142,000",Chicago Fire,Mls,2021
7,Kenneth Kronholm,"$ 10,942","$ 569,000",GK,35,Reserve,"Dec 31, 2021",1-yr,"$ 569,000",Chicago Fire,Mls,2021
8,Johan Kappelhof,"$ 8,894","$ 462,500",CB,30,Starter,"Dec 31, 2021",1-yr,"$ 462,500",Chicago Fire,Mls,2021
9,Luka Stojanovic,"$ 6,038","$ 314,000",AM,27,Starter,"Dec 31, 2021",1-yr,"$ 314,000",Chicago Fire,Mls,2021
10,Jonathan Bornstein,"$ 5,769","$ 300,000",LB,36,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Chicago Fire,Mls,2021
11,Stanislav Ivanov,"$ 5,288","$ 275,000",RW,22,Reserve,"Dec 31, 2023",3-yrs,"$ 825,000",Chicago Fire,Mls,2021
12,Fabian Herbers,"$ 4,423","$ 230,000",RW,27,Reserve,"Dec 31, 2023",3-yrs,"$ 690,000",Chicago Fire,Mls,2021
13,Mauricio Pineda,"$ 3,365","$ 175,000",CB,23,Starter,"Dec 31, 2021",1-yr,"$ 175,000",Chicago Fire,Mls,2021
14,Jhon Espinoza,"$ 3,115","$ 162,000",RB,22,Reserve,"Dec 31, 2023",3-yrs,"$ 486,000",Chicago Fire,Mls,2021
15,Carlos Terán,"$ 2,885","$ 150,000",CB,20,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Chicago Fire,Mls,2021
16,Chinonso Offor,"$ 2,538","$ 132,000",CF,20,Reserve,"Dec 31, 2021",1-yr,"$ 132,000",Chicago Fire,Mls,2021
17,Miguel Ángel Navarro,"$ 2,308","$ 120,000",LB,22,Reserve,"Dec 31, 2022",2-yrs,"$ 240,000",Chicago Fire,Mls,2021
18,Bobby Shuttleworth,"$ 2,115","$ 110,000",GK,34,Starter,"Dec 31, 2021",1-yr,"$ 110,000",Chicago Fire,Mls,2021
19,Elliot Collier,"$ 1,950","$ 101,375",CF,26,Reserve,"Dec 31, 2021",1-yr,"$ 101,375",Chicago Fire,Mls,2021
20,Gabriel Slonina,"$ 1,923","$ 100,000",GK,17,Reserve,"Dec 31, 2022",2-yrs,"$ 200,000",Chicago Fire,Mls,2021
21,Wyatt Omsberg,"$ 1,643","$ 85,444",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Chicago Fire,Mls,2021
22,Javier Casas,"$ 1,283","$ 66,724",CM,18,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
23,Nicholas Slonina,"$ 1,283","$ 66,724",CB,20,Reserve,"Dec 31, 2021",1-yr,"$ 66,724",Chicago Fire,Mls,2021
24,Chris Brady,"$ 1,283","$ 66,724",GK,17,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
25,Brian Gutiérrez,"$ 1,283","$ 66,724",AM,17,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
26,Allan Rodriguez,"$ 1,283","$ 66,724",DM,16,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
27,Alex Monis,"$ 1,283","$ 66,724",RW,18,Reserve,"Dec 31, 2023",3-yrs,"$ 200,172",Chicago Fire,Mls,2021
0,Kellyn Acosta,"$ 19,231","$ 1,000,000",DM,25,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Colorado Rapids,Mls,2021
1,Younes Namli,"$ 16,346","$ 850,000",AM,26,Reserve,"Dec 31, 2021",1-yr,"$ 850,000",Colorado Rapids,Mls,2021
2,Michael Barrios,"$ 12,500","$ 650,000",RW,30,Starter,"Dec 31, 2021",1-yr,"$ 650,000",Colorado Rapids,Mls,2021
3,Nicolas Benezet,"$ 12,500","$ 650,000",LW,30,Reserve,"Dec 31, 2021",1-yr,"$ 650,000",Colorado Rapids,Mls,2021
4,Jack Price,"$ 11,538","$ 600,000",CM,28,Starter,"Dec 31, 2021",1-yr,"$ 600,000",Colorado Rapids,Mls,2021
5,Diego Rubio,"$ 11,250","$ 585,000",CF,28,Starter,"Dec 31, 2022",2-yrs,"$ 1,170,000",Colorado Rapids,Mls,2021
6,Sam Vines,"$ 8,173","$ 425,000",LB,21,Starter,"Dec 31, 2021",1-yr,"$ 425,000",Colorado Rapids,Mls,2021
7,Jonathan Lewis,"$ 7,885","$ 410,000",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 410,000",Colorado Rapids,Mls,2021
8,Auston Trusty,"$ 7,212","$ 375,000",CB,22,Starter,"Dec 31, 2023",3-yrs,"$ 1,125,000",Colorado Rapids,Mls,2021
9,Nicolás Mezquida,"$ 6,731","$ 350,000",AM,29,Reserve,"Dec 31, 2021",1-yr,"$ 350,000",Colorado Rapids,Mls,2021
10,William Yarbrough,"$ 5,769","$ 300,000",GK,32,Starter,"Dec 31, 2023",3-yrs,"$ 900,000",Colorado Rapids,Mls,2021
11,Keegan Rosenberry,"$ 5,481","$ 285,000",RB,27,Starter,"Dec 31, 2021",1-yr,"$ 285,000",Colorado Rapids,Mls,2021
12,Danny Wilson,"$ 5,288","$ 275,000",CB,29,Starter,"Dec 31, 2022",2-yrs,"$ 550,000",Colorado Rapids,Mls,2021
13,Lalas Abubakar,"$ 4,038","$ 210,000",CB,26,Reserve,"Dec 31, 2021",1-yr,"$ 210,000",Colorado Rapids,Mls,2021
14,Clint Irwin,"$ 3,654","$ 190,000",GK,32,Reserve,"Dec 31, 2022",2-yrs,"$ 380,000",Colorado Rapids,Mls,2021
15,Braian Galván,"$ 3,077","$ 160,000",RW,20,Reserve,"Dec 31, 2021",1-yr,"$ 160,000",Colorado Rapids,Mls,2021
16,Drew Moor,"$ 2,885","$ 150,000",CB,37,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Colorado Rapids,Mls,2021
17,Steven Beitashour,"$ 2,885","$ 150,000",RB,34,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Colorado Rapids,Mls,2021
18,Kortne Ford,"$ 2,692","$ 140,000",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 140,000",Colorado Rapids,Mls,2021
19,Andre Shinyashiki,"$ 2,308","$ 120,000",LW,23,Starter,"Dec 31, 2021",1-yr,"$ 120,000",Colorado Rapids,Mls,2021
20,Cole Bassett,"$ 2,115","$ 110,000",CM,19,Starter,"Dec 31, 2021",1-yr,"$ 110,000",Colorado Rapids,Mls,2021
21,Matt Hundley,"$ 1,827","$ 95,000",LW,21,Reserve,"Nov 30, 2021",1-yr,"$ 95,000",Colorado Rapids,Mls,2021
22,Sebastian Anderson,"$ 1,731","$ 90,000",RB,18,Reserve,"Nov 30, 2021",1-yr,"$ 90,000",Colorado Rapids,Mls,2021
23,Jeremy Kelly,"$ 1,643","$ 85,444",RB,23,Reserve,"Nov 30, 2021",1-yr,"$ 85,444",Colorado Rapids,Mls,2021
24,Andre Rawls,"$ 1,635","$ 85,000",GK,29,Reserve,"Nov 30, 2021",1-yr,"$ 85,000",Colorado Rapids,Mls,2021
25,Michael Edwards,"$ 1,565","$ 81,375",CB,20,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Colorado Rapids,Mls,2021
26,Philip Mayaka,"$ 1,565","$ 81,375",CM,20,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Colorado Rapids,Mls,2021
27,Collen Warner,"$ 1,565","$ 81,375",CM,32,Reserve,"Dec 31, 2022",2-yrs,"$ 162,750",Colorado Rapids,Mls,2021
28,Abraham Rodriguez,"$ 1,222","$ 63,547",GK,18,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Colorado Rapids,Mls,2021
29,Oliver Larraz,"$ 1,222","$ 63,547",CM,19,Reserve,"Dec 31, 2022",2-yrs,"$ 127,094",Colorado Rapids,Mls,2021
30,Darren Yapi,"$ 1,222","$ 63,547",CF,16,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Colorado Rapids,Mls,2021
31,Will Vint,"$ 1,222","$ 63,547",DM,19,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Colorado Rapids,Mls,2021
32,Yaya Toure,"$ 1,222","$ 63,547",RW,16,Reserve,"Nov 30, 2021",1-yr,"$ 63,547",Colorado Rapids,Mls,2021
0,Darlington Nagbe,"$ 32,885","$ 1,710,000",CM,30,Starter,"Dec 31, 2021",1-yr,"$ 1,710,000",Columbus Crew,Mls,2021
1,Lucas Zelarayán,"$ 31,154","$ 1,620,000",AM,28,Starter,"Dec 31, 2021",1-yr,"$ 1,620,000",Columbus Crew,Mls,2021
2,Gyasi Zardes,"$ 25,962","$ 1,350,000",CF,29,Starter,"Dec 31, 2021",1-yr,"$ 1,350,000",Columbus Crew,Mls,2021
3,Jonathan Mensah,"$ 19,231","$ 1,000,000",CB,30,Starter,"Dec 31, 2021",1-yr,"$ 1,000,000",Columbus Crew,Mls,2021
4,Pedro Santos,"$ 15,722","$ 817,560",RW,33,Starter,"Dec 31, 2021",1-yr,"$ 817,560",Columbus Crew,Mls,2021
5,Kevin Molino,"$ 12,827","$ 667,000",RW,30,Reserve,"Dec 31, 2021",1-yr,"$ 667,000",Columbus Crew,Mls,2021
6,Artur,"$ 9,231","$ 480,000",DM,25,Starter,"Dec 31, 2021",1-yr,"$ 480,000",Columbus Crew,Mls,2021
7,Eloy Room,"$ 8,173","$ 425,004",GK,32,Starter,"Dec 31, 2021",1-yr,"$ 425,004",Columbus Crew,Mls,2021
8,Vito Wormgoor,"$ 7,981","$ 415,000",CB,32,Reserve,"Dec 31, 2021",1-yr,"$ 415,000",Columbus Crew,Mls,2021
9,Bradley Wright-Phillips,"$ 7,885","$ 410,000",CF,36,Reserve,"Dec 31, 2021",1-yr,"$ 410,000",Columbus Crew,Mls,2021
10,Evan Bush,"$ 7,231","$ 376,000",GK,35,Reserve,"Dec 31, 2021",1-yr,"$ 376,000",Columbus Crew,Mls,2021
11,Milton Valenzuela,"$ 7,212","$ 375,000",LB,22,Reserve,"Dec 31, 2021",1-yr,"$ 375,000",Columbus Crew,Mls,2021
12,Alexandru Matan,"$ 7,212","$ 375,000",AM,21,Reserve,"Dec 31, 2021",1-yr,"$ 375,000",Columbus Crew,Mls,2021
13,Luis Díaz,"$ 6,731","$ 350,004",RM,22,Starter,"Dec 31, 2021",1-yr,"$ 350,004",Columbus Crew,Mls,2021
14,Harrison Afful,"$ 6,442","$ 335,000",RB,34,Starter,"Dec 31, 2021",1-yr,"$ 335,000",Columbus Crew,Mls,2021
15,Josh Williams,"$ 5,769","$ 300,000",CB,33,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Columbus Crew,Mls,2021
16,Perry Kitchen,"$ 5,288","$ 275,000",DM,29,Reserve,"Dec 31, 2021",1-yr,"$ 275,000",Columbus Crew,Mls,2021
17,Waylon Francis,"$ 4,231","$ 220,000",LB,30,Starter,"Dec 31, 2021",1-yr,"$ 220,000",Columbus Crew,Mls,2021
18,Aidan Morris,"$ 2,788","$ 145,000",CM,19,Reserve,"Dec 31, 2021",1-yr,"$ 145,000",Columbus Crew,Mls,2021
19,Grant Lillard,"$ 2,404","$ 125,000",CB,25,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Columbus Crew,Mls,2021
20,Saad Abdul-Salaam,"$ 2,404","$ 125,000",RB,29,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Columbus Crew,Mls,2021
21,Derrick Etienne Jr,"$ 2,404","$ 125,000",LW,24,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Columbus Crew,Mls,2021
22,Aboubacar Keita,"$ 2,115","$ 110,000",CB,21,Reserve,"Dec 31, 2021",1-yr,"$ 110,000",Columbus Crew,Mls,2021
23,Liam Fraser,"$ 1,721","$ 89,513",DM,23,Reserve,"Dec 31, 2021",1-yr,"$ 89,513",Columbus Crew,Mls,2021
24,Miguel Berry,"$ 1,643","$ 85,444",CF,23,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Columbus Crew,Mls,2021
25,Eric Dick,"$ 1,643","$ 85,444",GK,26,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Columbus Crew,Mls,2021
26,Matt Lampson,"$ 1,643","$ 85,444",GK,31,Reserve,"Dec 31, 2021",1-yr,"$ 85,444",Columbus Crew,Mls,2021
27,Marlon Hairston,"$ 1,565","$ 81,375",RW,27,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Columbus Crew,Mls,2021
28,Isaiah Parente,"$ 1,222","$ 63,547",CM,21,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Columbus Crew,Mls,2021
0,Edison Flores,"$ 30,769","$ 1,600,000",LW,27,Starter,"Dec 31, 2024",4-yrs,"$ 6,400,000",Dc United,Mls,2021
1,Paul Arriola,"$ 19,231","$ 1,000,000",RM,26,Reserve,"Dec 31, 2023",3-yrs,"$ 3,000,000",Dc United,Mls,2021
2,Yordy Reyna,"$ 13,683","$ 711,500",CF,27,Reserve,"Dec 31, 2024",4-yrs,"$ 2,846,000",Dc United,Mls,2021
3,Julian Gressel,"$ 13,558","$ 705,000",RM,27,Starter,"Dec 31, 2023",3-yrs,"$ 2,115,000",Dc United,Mls,2021
4,Steve Birnbaum,"$ 13,462","$ 700,000",CB,30,Reserve,"Dec 31, 2023",3-yrs,"$ 2,100,000",Dc United,Mls,2021
5,Nigel Robertha,"$ 10,577","$ 550,000",CF,23,Reserve,"Dec 31, 2023",3-yrs,"$ 1,650,000",Dc United,Mls,2021
6,Bill Hamid,"$ 9,615","$ 500,000",GK,30,Reserve,"Dec 31, 2022",2-yrs,"$ 1,000,000",Dc United,Mls,2021
7,Russell Canouse,"$ 9,615","$ 500,000",CM,25,Reserve,"Dec 31, 2023",3-yrs,"$ 1,500,000",Dc United,Mls,2021
8,Yamil Asad,"$ 9,135","$ 475,000",LW,26,Reserve,"Dec 31, 2021",1-yr,"$ 475,000",Dc United,Mls,2021
9,Ola Kamara,"$ 7,692","$ 400,000",CF,31,Reserve,"Dec 31, 2021",1-yr,"$ 400,000",Dc United,Mls,2021
10,Frédéric Brillant,"$ 5,769","$ 300,000",CB,35,Starter,"Dec 31, 2021",1-yr,"$ 300,000",Dc United,Mls,2021
11,Brendan Hines-Ike,"$ 4,615","$ 240,000",CB,26,Starter,"Dec 31, 2021",1-yr,"$ 240,000",Dc United,Mls,2021
12,Joseph Mora,"$ 3,538","$ 184,000",LB,28,Reserve,"Dec 31, 2021",1-yr,"$ 184,000",Dc United,Mls,2021
13,Júnior Moreno,"$ 3,538","$ 184,000",DM,27,Starter,"Dec 31, 2021",1-yr,"$ 184,000",Dc United,Mls,2021
14,Chris Seitz,"$ 3,077","$ 160,000",GK,34,Reserve,"Dec 31, 2021",1-yr,"$ 160,000",Dc United,Mls,2021
15,Erik Sorga,"$ 2,885","$ 150,000",CF,21,Reserve,"Dec 31, 2022",2-yrs,"$ 300,000",Dc United,Mls,2021
16,Felipe Martins,"$ 2,885","$ 150,000",CM,30,Reserve,"Dec 31, 2021",1-yr,"$ 150,000",Dc United,Mls,2021
17,Chris Odoi-Atsem,"$ 2,500","$ 130,000",RB,25,Reserve,"Dec 31, 2022",2-yrs,"$ 260,000",Dc United,Mls,2021
18,Donovan Pines,"$ 2,404","$ 125,000",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 125,000",Dc United,Mls,2021
19,Griffin Yow,"$ 2,115","$ 110,000",LW,18,Reserve,"Dec 31, 2021",1-yr,"$ 110,000",Dc United,Mls,2021
20,Kevin Paredes,"$ 1,923","$ 100,000",LM,18,Reserve,"Dec 31, 2021",1-yr,"$ 100,000",Dc United,Mls,2021
21,Andy Nájar,"$ 1,731","$ 90,000",RB,28,Starter,"Dec 31, 2021",1-yr,"$ 90,000",Dc United,Mls,2021
22,Jon Kempin,"$ 1,643","$ 85,444",GK,28,Starter,"Dec 31, 2021",1-yr,"$ 85,444",Dc United,Mls,2021
23,Moses Nyeman,"$ 1,643","$ 85,444",DM,17,Starter,"Dec 31, 2021",1-yr,"$ 85,444",Dc United,Mls,2021
24,Adrien Perez,"$ 1,565","$ 81,375",CF,25,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
25,Kimarni Smith,"$ 1,565","$ 81,375",LW,23,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
26,Jovanny Bolívar,"$ 1,565","$ 81,375",CF,19,Reserve,"Nov 30, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
27,Michael DeShields,"$ 1,565","$ 81,375",CB,23,Reserve,"Dec 31, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
28,Antonio Alfaro,"$ 1,565","$ 81,375",CB,27,Starter,"Dec 31, 2021",1-yr,"$ 81,375",Dc United,Mls,2021
29,Jacob Greene,"$ 1,222","$ 63,547",LB,18,Reserve,"Dec 31, 2021",1-yr,"$ 63,547",Dc United,Mls,2021
30,Drew Skundrich,$ 0,$ 0,CM,25,Starter,"Dec 31, 2021",1-yr,$ 0,Dc United,Mls,2021
0,Jürgen Locadia,"$ 48,077","$ 2,500,000",CF,27,Reserve,"Jun 30, 2021",1-yr,"$ 2,500,000",FC Cincinnati,Mls,2021
1,Luciano Acosta,"$ 37,375","$ 1,943,500",AM,26,Starter,"Dec 31, 2023",3-yrs,"$ 5,830,500",FC Cincinnati,Mls,2021
2,Brenner,"$ 23,497","$ 1,221,818",CF,21,Starter,"Dec 31, 2021",1-yr,"$ 1,221,818",FC Cincinnati,Mls,2021
3,Yuya Kubo,"$ 20,981","$ 1,091,000",CF,27,Starter,"Dec 31, 2021",1-yr,"$ 1,091,000",FC Cincinnati,Mls,2021
4,Allan Cruz,"$ 19,615","$ 1,020,000",CM,25,Reserve,"Dec 31, 2021",1-yr,"$ 1,020,000",FC Cincinnati,Mls,2021
5,Kamohelo Mokotjo,"$ 17,788","$ 925,000",DM,30,Starter,"Dec 31, 2021",1-yr,"$ 925,000",FC Cincinnati,Mls,2021
6,Kenneth Vermeer,"$ 14,423","$ 750,000",GK,35,Reserve,"Dec 31, 2022",2-yrs,"$ 1,500,000",FC Cincinnati,Mls,2021
7,Ronald Matarrita,"$ 13,462","$ 700,000",LB,26,Starter,"Dec 31, 2021",1-yr,"$ 700,000",FC Cincinnati,Mls,2021
8,Haris Medunjanin,"$ 10,962","$ 570,000",CM,36,Reserve,"Dec 31, 2021",1-yr,"$ 570,000",FC Cincinnati,Mls,2021
9,Maikel van der Werff,"$ 6,731","$ 350,000",CB,32,Reserve,"Dec 31, 2021",1-yr,"$ 350,000",FC Cincinnati,Mls,2021
