match_minute,match_second,position_x,position_y,play_type,BodyPart,Number_Intervening_Opponents,Number_Intervening_Teammates,Interference_on_Shooter,outcome
81,29,9.98,-16.71,Open Play,Left,3,0,Medium,Saved
91,50,3.74,-12.47,Open Play,Left,2,0,Medium,Saved
79,29,18.95,0.5,Open Play,Right,4,2,High,Saved
42,38,5.24,11.22,Open Play,Left,2,0,Medium,Saved
46,11,6.24,16.21,Open Play,Left,1,0,Medium,Missed
86,15,21.45,11.22,Open Play,Left,4,0,Medium,Missed
35,17,8.73,0.5,Open Play,Right,2,0,Medium,Saved
11,26,28.18,5.99,Direct freekick,Right,8,4,Low,Missed
64,15,10.47,-10.23,Open Play,Left,3,1,Medium,Saved
92,2,5.24,1.5,Open Play,Head,0,0,Medium,Goal
46,9,1.75,-4.74,Open Play,Head,1,0,Medium,Goal
0,26,7.98,4.99,Open Play,Left,1,0,Medium,Goal
15,11,8.98,-3.99,Open Play,Head,1,0,High,Missed
55,24,25.94,10.72,Open Play,Right,6,0,Medium,Blocked
64,41,30.18,-3.49,Direct freekick,Left,6,2,Low,Missed
38,43,26.43,-1,Open Play,Left,3,0,Medium,Missed
9,34,27.93,4.99,Open Play,Left,5,0,High,Blocked
90,2,7.98,-21.7,Direct freekick,Left,3,0,Low,Saved
52,40,3.74,5.74,Open Play,Head,3,0,Low,Blocked
76,38,14.71,-0.5,Open Play,Head,3,0,Medium,Saved
51,19,20.7,4.49,Open Play,Left,2,0,Low,Missed
40,25,12.47,-5.74,Open Play,Right,2,0,Medium,Blocked
66,33,5.99,3.49,Open Play,Head,1,0,Medium,Missed
16,48,10.97,-5.49,Open Play,Head,1,0,Low,Saved
62,17,24.19,-15.71,Open Play,Right,2,0,Medium,Missed
48,42,12.22,-4.49,Open Play,Right,4,1,Medium,Blocked
21,29,9.23,9.73,Open Play,Right,1,0,Low,Missed
16,57,7.48,0.5,Open Play,Head,1,0,Medium,Missed
74,28,11.72,12.22,Open Play,Left,4,1,Low,Missed
63,3,6.24,7.73,Open Play,Left,1,0,Low,Saved
65,33,20.7,4.74,Open Play,Left,3,0,Low,Saved
9,55,4.49,2.24,Open Play,Head,2,0,Medium,Missed
42,39,7.23,5.49,Open Play,Head,1,0,Low,Missed
57,25,14.71,12.47,Open Play,Right,3,1,Medium,Saved
58,5,13.72,4.99,Open Play,Right,3,0,Medium,Goal
27,49,2.99,0.75,Open Play,Right,1,0,Low,Goal
71,1,25.44,-9.98,Open Play,Left,4,0,Medium,Missed
94,33,20.45,8.73,Open Play,Right,1,0,Low,Missed
92,16,7.98,-11.47,Open Play,Right,1,0,Low,Missed
17,29,23.19,15.71,Open Play,Right,2,0,Medium,Saved
12,11,24.19,0.5,Open Play,Right,6,1,Medium,Saved
58,25,28.68,1.25,Direct freekick,Right,7,4,Low,Missed
26,6,28.43,9.23,Open Play,Left,3,0,Medium,Missed
44,14,21.2,-13.47,Open Play,Left,3,0,Medium,Blocked
29,34,9.23,0.75,Open Play,Head,3,0,Medium,Missed
80,13,21.95,0.75,Open Play,Right,2,1,Medium,Saved
61,33,27.93,10.47,Open Play,Left,4,0,Low,Missed
51,30,24.19,10.47,Open Play,Left,3,0,Low,Missed
78,23,7.23,1.25,Open Play,Head,1,0,Low,Saved
40,55,30.92,0.25,Open Play,Right,4,1,Low,Saved
87,37,19.2,-11.47,Open Play,Left,3,0,Medium,Goal
88,52,10.97,0,Penalty,Left,1,0,Low,Missed
78,44,20.7,6.73,Direct freekick,Right,6,2,Low,Goal
68,33,4.24,1,Open Play,Right,1,1,Medium,Blocked
73,55,22.69,-7.48,Open Play,Left,4,1,Low,Saved
58,46,12.72,16.46,Open Play,Right,3,0,Low,Saved
50,46,10.72,2.99,Open Play,Head,2,0,High,Missed
49,36,8.98,-11.72,Open Play,Right,2,0,Medium,Blocked
30,36,25.94,-0.75,Open Play,Right,4,1,Low,Missed
33,22,26.43,-11.97,Open Play,Left,4,1,Medium,Missed
9,16,13.47,7.48,Open Play,Head,2,0,Medium,Saved
62,46,30.67,17.21,Open Play,Left,3,2,Medium,Missed
2,6,13.22,-5.99,Open Play,Right,3,1,High,Saved
14,40,13.22,-14.46,Open Play,Right,4,1,Medium,Missed
46,43,14.46,-2.24,Open Play,Right,2,0,Low,Blocked
63,51,26.43,5.49,Open Play,Right,4,2,High,Missed
70,45,20.2,7.23,Open Play,Left,4,1,Medium,Missed
66,35,9.23,6.98,Open Play,Right,2,0,High,Missed
76,3,8.73,1.25,Open Play,Left,1,0,Low,Saved
58,13,15.46,-1.75,Open Play,Head,3,0,Medium,Missed
68,27,27.43,4.49,Open Play,Right,4,2,Low,Saved
85,35,8.73,9.98,Open Play,Right,2,0,Low,Saved
7,56,19.7,17.21,Open Play,Right,3,0,Low,Saved
16,26,14.46,15.96,Open Play,Left,4,0,Medium,Missed
66,53,13.72,9.48,Open Play,Right,2,0,High,Blocked
42,0,25.69,-12.22,Open Play,Right,2,0,Medium,Saved
63,0,23.44,-7.23,Open Play,Right,3,0,Low,Blocked
26,16,10.47,-10.72,Open Play,Right,1,0,Low,Goal
6,11,5.49,10.47,Open Play,Left,2,0,Medium,Missed
69,6,18.95,2.24,Open Play,Right,2,0,Low,Missed
69,55,5.99,3.49,Open Play,Head,2,0,High,Missed
11,27,5.99,-1.5,Open Play,Head,2,0,Low,Goal
17,23,24.44,0.25,Open Play,Left,2,1,High,Blocked
37,26,20.7,-10.72,Open Play,Left,2,0,Medium,Missed
13,59,6.48,-2,Open Play,Right,1,1,,owngoal
75,2,15.46,-4.99,Open Play,Left,3,0,Medium,Saved
25,11,15.96,-1.25,Open Play,Right,2,0,High,Blocked
16,45,10.47,-0.5,Open Play,Head,3,0,High,Missed
14,0,3.99,3.99,Open Play,Head,2,0,Low,Saved
60,41,18.95,-3.24,Open Play,Left,6,3,Low,Saved
17,35,2.49,-5.74,Open Play,Head,2,0,Medium,Missed
58,24,18.45,12.22,Open Play,Right,3,1,Low,Saved
13,19,22.44,-9.23,Open Play,Right,3,1,Low,Missed
27,5,0.75,2.49,Open Play,Other,0,0,Low,Goal
23,40,3.24,-1,Open Play,Head,1,0,Low,Goal
34,9,17.71,-2.74,Open Play,Right,2,0,Medium,Goal
52,58,5.49,0.5,Open Play,Left,1,0,Medium,Goal
10,27,7.23,-13.22,Open Play,Right,2,0,Medium,Goal
79,0,12.72,17.96,Open Play,Left,1,0,Medium,Missed
8,24,23.44,-9.73,Open Play,Left,3,0,Medium,Blocked
37,31,11.72,7.73,Open Play,Right,3,0,High,Blocked
73,12,4.99,1,Open Play,Head,1,0,Medium,Saved
22,26,24.94,-9.23,Open Play,Right,2,0,Low,Saved
80,14,13.47,2,Open Play,Right,2,0,High,GoalFrame
2,13,12.47,0.5,Open Play,Head,2,1,Medium,Saved
28,2,2.49,-4.74,Open Play,Right,0,0,Medium,Goal
71,20,9.48,3.99,Open Play,Right,4,0,Low,Missed
25,7,23.69,-5.74,Open Play,Right,3,0,Medium,Blocked
29,56,8.73,-4.99,Open Play,Left,3,1,High,Blocked
31,18,0.75,4.99,Open Play,Left,1,0,Medium,Goal
31,1,13.72,3.99,Open Play,Right,1,0,Medium,Saved
9,20,7.73,-3.49,Open Play,Right,1,0,Low,Missed
29,29,9.73,-6.98,Open Play,Head,3,1,High,Saved
68,46,8.98,5.24,Open Play,Right,3,0,High,Blocked
46,34,18.7,7.98,Open Play,Left,2,0,Medium,Saved
42,49,5.24,7.73,Open Play,Head,5,1,Medium,Saved
6,34,7.23,0.75,Open Play,Head,1,0,Medium,GoalFrame
7,22,15.46,-2,Open Play,Left,3,0,Medium,Blocked
90,38,7.98,23.69,Direct freekick,Right,4,0,Low,Missed
66,54,20.2,11.72,Open Play,Right,4,0,High,Missed
5,45,8.23,0.5,Open Play,Head,2,0,High,Saved
31,34,7.98,-0.5,Open Play,Head,4,0,Medium,Missed
68,10,16.71,21.2,Direct freekick,Right,4,1,Low,Saved
92,40,6.98,2.74,Open Play,Head,2,0,Medium,Saved
42,2,12.22,3.24,Open Play,Left,2,0,Medium,Missed
86,36,23.44,2.24,Open Play,Right,3,0,Medium,Goal
47,22,21.7,2.74,Direct freekick,Right,6,2,Low,Goal
20,8,10.97,0,Penalty,Right,1,0,Low,Saved
36,14,18.45,1.25,Open Play,Right,4,1,Medium,Blocked
45,41,14.46,8.48,Open Play,Right,2,0,Medium,Blocked
16,54,25.94,-3.99,Open Play,Left,6,2,Medium,Missed
88,56,13.72,0.75,Open Play,Left,3,1,Low,Missed
28,29,23.19,-9.23,Open Play,Left,4,1,Medium,Missed
56,13,7.98,1,Open Play,Right,1,0,Low,Saved
12,15,8.73,-17.71,Open Play,Left,3,0,Medium,Missed
14,30,21.2,-18.95,Direct freekick,Right,4,3,Low,Missed
59,52,7.23,-1,Open Play,Right,1,0,High,Goal
47,24,7.48,-12.97,Open Play,Right,2,0,Medium,Saved
51,51,27.43,0.25,Open Play,Left,2,0,Low,Saved
19,57,1,-33.92,Direct freekick,Right,5,2,Low,Saved
5,4,8.98,-13.47,Open Play,Right,5,2,Low,Saved
50,9,20.7,6.48,Open Play,Right,3,0,Medium,Saved
8,52,27.93,-3.24,Open Play,Right,3,0,Medium,Saved
28,29,22.94,-16.96,Open Play,Right,3,0,Medium,Missed
56,57,23.94,11.47,Open Play,Left,2,0,Low,Missed
20,16,27.93,2,Open Play,Right,3,0,Medium,Missed
31,33,6.98,-1,Open Play,Head,1,0,Low,Saved
91,36,7.73,10.47,Open Play,Left,2,0,Medium,Saved
24,12,23.19,7.73,Open Play,Right,3,0,Medium,Missed
72,50,14.71,-13.47,Open Play,Right,4,2,Low,Missed
36,47,7.23,-18.7,Open Play,Right,1,0,Low,Missed
80,42,18.21,-18.95,Open Play,Left,2,0,Medium,Saved
24,45,19.7,9.48,Open Play,Left,3,0,Low,Missed
81,31,8.98,13.72,Open Play,Left,3,0,Medium,Blocked
57,51,10.23,17.21,Open Play,Right,2,0,Medium,Missed
30,2,11.97,-4.24,Open Play,Head,1,0,Medium,Missed
41,19,15.96,1,Open Play,Head,2,0,Medium,Blocked
91,29,11.47,1.75,Open Play,Right,3,0,Medium,Goal
76,23,9.73,2.49,Open Play,Head,3,0,Medium,Blocked
77,59,7.48,-3.74,Open Play,Head,2,0,Medium,Missed
88,59,6.48,-13.47,Open Play,Right,2,0,Medium,Saved
80,0,30.67,5.99,Open Play,Left,2,0,Low,Missed
3,15,24.69,-10.23,Open Play,Right,3,1,Low,Missed
6,34,8.98,-5.74,Open Play,Right,1,0,Low,Goal
71,10,4.99,0.5,Open Play,Right,1,0,Low,Goal
80,0,7.73,-2.49,Open Play,Right,1,0,Low,Goal
92,43,12.47,-3.49,Open Play,Head,3,0,High,Saved
0,0,12.72,-2.24,Open Play,Right,3,1,High,Saved
16,59,20.2,17.71,Open Play,Right,3,0,Low,Saved
29,41,17.46,8.48,Open Play,Right,2,0,Medium,Saved
37,58,8.48,-6.24,Open Play,Head,2,0,Low,Missed
59,43,16.96,14.22,Open Play,Left,4,1,Low,Missed
88,56,11.47,5.49,Open Play,Head,3,0,Medium,Saved
18,37,9.48,-16.46,Open Play,Right,2,0,Low,Missed
91,14,2.49,9.48,Open Play,Left,2,0,Medium,Saved
0,46,19.2,8.98,Open Play,Left,2,0,Low,Saved
74,36,7.98,-8.98,Open Play,Right,1,0,Low,Saved
28,33,24.19,-0.5,Open Play,Left,2,0,Low,Saved
50,44,26.43,-8.48,Open Play,Left,5,1,Medium,Blocked
70,27,10.47,2.99,Open Play,Left,1,0,Low,Saved
58,17,10.47,-6.48,Open Play,Right,2,0,Medium,Missed
32,56,8.73,-4.74,Open Play,Head,2,0,Low,Blocked
64,32,12.47,2.24,Open Play,Left,2,0,Medium,Missed
93,31,9.73,-10.47,Open Play,Right,1,0,Medium,Missed
5,32,24.44,11.97,Open Play,Left,2,0,Medium,Missed
83,19,14.22,12.47,Open Play,Left,2,0,Medium,Missed
31,40,11.97,13.97,Open Play,Right,1,0,Medium,Saved
46,11,20.2,6.24,Open Play,Right,3,0,Medium,Blocked
32,13,10.47,14.71,Open Play,Left,2,0,Medium,Missed
48,6,13.97,-9.73,Open Play,Right,7,3,Low,Missed
32,46,26.93,-2.74,Open Play,Left,1,0,Medium,Missed
45,21,18.95,9.73,Open Play,Left,5,0,High,Missed
78,53,13.47,-3.24,Open Play,Head,3,0,Medium,Saved
32,35,7.73,-2.24,Open Play,Right,2,0,Medium,Goal
75,36,7.48,0.5,Open Play,Head,1,0,Medium,Saved
8,6,16.96,19.2,Open Play,Right,3,0,Low,Saved
11,10,11.22,15.96,Open Play,Right,3,0,Medium,Saved
45,0,27.93,-12.72,Open Play,Right,4,0,Low,Saved
87,37,17.46,2.49,Open Play,Left,1,0,Low,Saved
46,42,5.99,-10.72,Open Play,Head,2,0,Medium,Saved
38,6,20.7,-6.73,Open Play,Left,2,0,Medium,Missed
83,44,14.22,-5.99,Open Play,Right,2,0,Low,Missed
26,44,12.22,9.23,Open Play,Left,1,0,Low,Goal
12,32,10.97,0,Penalty,Left,1,0,Low,Goal
46,17,14.22,9.73,Open Play,Right,4,1,Low,Missed
25,34,6.73,10.23,Open Play,Head,3,0,Medium,Missed
65,59,28.68,0.75,Open Play,Right,2,0,Low,Missed
42,48,8.23,15.46,Open Play,Left,1,0,Medium,Missed
29,36,11.72,10.23,Open Play,Left,1,0,Medium,Missed
57,53,13.97,1,Open Play,Right,2,0,Medium,Missed
83,3,4.74,-3.49,Open Play,Left,2,0,High,GoalFrame
34,26,17.96,-15.46,Open Play,Right,2,0,Medium,Missed
43,36,15.21,13.97,Open Play,Right,3,0,Medium,Saved
2,16,18.21,-15.96,Open Play,Left,3,0,Medium,Missed
23,24,11.47,-8.98,Open Play,Right,2,0,Medium,Blocked
42,57,10.72,14.22,Open Play,Left,3,0,Medium,Blocked
29,1,13.97,2.24,Open Play,Right,2,0,Low,Blocked
57,1,5.24,10.97,Open Play,Left,3,0,Medium,Blocked
20,44,9.23,7.73,Open Play,Right,1,0,Low,Saved
18,33,26.19,1.25,Open Play,Left,2,0,Medium,Blocked
75,33,26.93,-0.75,Open Play,Left,3,0,Medium,Saved
8,0,24.44,-14.71,Direct freekick,Right,4,2,Low,Saved
7,24,11.47,5.49,Open Play,Right,3,0,Medium,Blocked
43,41,13.72,-11.22,Open Play,Right,2,0,Medium,Saved
