tm_id,player_name,birth_day,birth_month,birth_year,pob,cob,dob,position,height,foot,citizenship,second_citizenship,league_code,season,current_club,current_club_country,market_value_euros,joined,contract_expires,contract_option,on_loan_from,on_loan_from_country,loan_contract_expiry,player_agent,name_lower,firstname_lower,lastname_lower,firstinitial_lower,league_country_lower,position_code,position_grouped,outfielder_goalkeeper,age,age_when_joining,years_since_joining,years_until_contract_expiry,market_value_pounds
8246,philipp pentke,1.0,5.0,1985.0,Freiberg,DDR,1985-05-01,Goalkeeper,191.0,right,Germany,,L1,2021,tsg 1899 hoffenheim,germany,300000.0,2019-07-01,2022-06-30,,,,,Bigpoint,philipp pentke,philipp,pentke,p,germany,GK,Goalkeeper,Goalkeeper,36.0,34.0,2.0,0.0,270000.0
8806,cesc fàbregas,4.0,5.0,1987.0,Arenys de Mar,Spain,1987-05-04,midfield - Central Midfield,178.0,right,Spain,,FR1,2021,as monaco,monaco,5000000.0,2019-01-11,2022-06-30,,,,,Darren Dein,cesc fabregas,cesc,fabregas,c,monaco,CM,Midfielder,Outfielder,34.0,31.0,2.0,0.0,4500000.0
12359,niki mäenpää,23.0,1.0,1985.0,Espoo,Finland,1985-01-23,Goalkeeper,191.0,right,Finland,,IT1,2021,venezia fc,italy,200000.0,2021-02-15,2023-06-30,,,,,ICM Stellar Sports,niki maenpaa,niki,maenpaa,n,italy,GK,Goalkeeper,Goalkeeper,36.0,36.0,0.0,1.0,180000.0
12563,goran pandev,27.0,7.0,1983.0,Strumica,Jugoslawien (SFR),1983-07-27,attack - Second Striker,184.0,left,,Italy,IT1,2021,genoa cfc,italy,500000.0,2015-07-07,2022-06-30,,,,,Carlo Pallavicino,goran pandev,goran,pandev,g,italy,SS,Forward,Outfielder,38.0,31.0,6.0,0.0,450000.0
12907,alessio cragno,28.0,6.0,1994.0,Fiesole,Italy,1994-06-28,Goalkeeper,184.0,right,Italy,,IT1,2021,cagliari calcio,italy,20000000.0,2014-07-12,2024-06-30,,,,,Promoesport,alessio cragno,alessio,cragno,a,italy,GK,Goalkeeper,Goalkeeper,27.0,20.0,7.0,2.0,18000000.0
13460,lee grant,27.0,1.0,1983.0,Hemel Hempstead,England,1983-01-27,Goalkeeper,193.0,right,England,,GB1,2021,manchester united,england,250000.0,2018-07-03,2022-06-30,,,,,,lee grant,lee,grant,l,england,GK,Goalkeeper,Goalkeeper,38.0,35.0,3.0,0.0,225000.0
13572,ben foster,3.0,4.0,1983.0,Leamington Spa,England,1983-04-03,Goalkeeper,193.0,left,England,,GB1,2021,watford fc,england,300000.0,2018-07-05,2022-06-30,,,,,,ben foster,ben,foster,b,england,GK,Goalkeeper,Goalkeeper,38.0,35.0,3.0,0.0,270000.0
14044,andy lonergan,19.0,10.0,1983.0,Preston,England,1983-10-19,Goalkeeper,193.0,left,England,,GB1,2021,everton fc,england,250000.0,2021-08-20,2022-06-30,,,,,UK Sport Management BV,andy lonergan,andy,lonergan,a,england,GK,Goalkeeper,Goalkeeper,37.0,37.0,0.0,0.0,225000.0
14086,ashley young,9.0,7.0,1985.0,Stevenage,England,1985-07-09,Defender - Left-Back,175.0,both,,Jamaica,GB1,2021,aston villa,england,1000000.0,2021-07-01,2022-06-30,,,,,CAA Base Ltd,ashley young,ashley,young,a,england,LB,Defender,Outfielder,36.0,36.0,0.0,0.0,900000.0
14555,scott carson,3.0,9.0,1985.0,Whitehaven,England,1985-09-03,Goalkeeper,188.0,right,England,,GB1,2021,manchester city,england,300000.0,2021-07-20,2022-06-30,,,,,Wasserman,scott carson,scott,carson,s,england,GK,Goalkeeper,Goalkeeper,35.0,35.0,0.0,0.0,270000.0
15452,raúl albiol,4.0,9.0,1985.0,Vilamarxant,Spain,1985-09-04,Defender - Centre-Back,190.0,right,Spain,,ES1,2021,villarreal cf,spain,2500000.0,2019-07-04,2022-06-30,,,,,Football Capital,raul albiol,raul,albiol,r,spain,CB,Defender,Outfielder,35.0,33.0,2.0,0.0,2250000.0
15773,phil bardsley,28.0,6.0,1985.0,Salford,England,1985-06-28,Defender - Right-Back,180.0,right,,England,GB1,2021,burnley fc,england,300000.0,2017-07-25,2022-06-30,,,,,,phil bardsley,phil,bardsley,p,england,RB,Defender,Outfielder,36.0,32.0,4.0,0.0,270000.0
15930,david martin,22.0,1.0,1986.0,London,England,1986-01-22,Goalkeeper,188.0,right,England,,GB1,2021,west ham united,england,250000.0,2019-07-01,2022-06-30,,,,,Momentum Sports Management,david martin,david,martin,d,england,GK,Goalkeeper,Goalkeeper,35.0,33.0,2.0,0.0,225000.0
15956,jesús navas,21.0,11.0,1985.0,Los Palacios y Villafranca,Spain,1985-11-21,Defender - Right-Back,172.0,right,Spain,,ES1,2021,sevilla fc,spain,3000000.0,2017-08-01,2024-06-30,,,,,Bahía Internacional,jesus navas,jesus,navas,j,spain,RB,Defender,Outfielder,35.0,31.0,4.0,2.0,2700000.0
16136,dante,18.0,10.0,1983.0,Salvador da Bahia,Brazil,1983-10-18,Defender - Centre-Back,189.0,left,Brazil,,FR1,2021,ogc nice,france,1000000.0,2016-08-23,2022-06-30,,,,,Marcus Marin,dante,dante,dante,d,france,CB,Defender,Outfielder,37.0,32.0,5.0,0.0,900000.0
16306,casemiro,23.0,2.0,1992.0,São José dos Campos,Brazil,1992-02-23,midfield - Defensive Midfield,185.0,right,,Spain,ES1,2021,real madrid,spain,70000000.0,2013-07-01,2025-06-30,,,,,Best of You,casemiro,casemiro,casemiro,c,spain,CDM,Midfielder,Outfielder,29.0,21.0,8.0,3.0,63000000.0
16408,orestis karnezis,11.0,7.0,1985.0,Athen,Greece,1985-07-11,Goalkeeper,190.0,right,Greece,,FR1,2021,losc lille,france,500000.0,2020-09-04,2023-06-30,,,,,,orestis karnezis,orestis,karnezis,o,france,GK,Goalkeeper,Goalkeeper,36.0,35.0,0.0,1.0,450000.0
16633,alex cordaz,1.0,1.0,1983.0,Vittorio Veneto,Italy,1983-01-01,Goalkeeper,188.0,right,Italy,,IT1,2021,inter milan,italy,500000.0,2021-07-01,2022-06-30,,,,,QUAN SPORTS MANAGEMENT ITALIA,alex cordaz,alex,cordaz,a,italy,GK,Goalkeeper,Goalkeeper,38.0,38.0,0.0,0.0,450000.0
16911,kasper schmeichel,5.0,11.0,1986.0,Kopenhagen,Denmark,1986-11-05,Goalkeeper,189.0,right,Denmark,,GB1,2021,leicester city,england,6000000.0,2011-07-01,2023-06-30,,,,,P&P Sport Management S.A.M.,kasper schmeichel,kasper,schmeichel,k,england,GK,Goalkeeper,Goalkeeper,34.0,24.0,10.0,1.0,5400000.0
16922,kevin-prince boateng,6.0,3.0,1987.0,Berlin,Germany,1987-03-06,midfield - Attacking Midfield,186.0,right,,Germany,L1,2021,hertha bsc,germany,2000000.0,2021-07-01,2022-06-30,,,,,Excellence Sport,kevin-prince boateng,kevin-prince,boateng,k,germany,CAM,Midfielder,Outfielder,34.0,34.0,0.0,0.0,1800000.0
17259,manuel neuer,27.0,3.0,1986.0,Gelsenkirchen,Germany,1986-03-27,Goalkeeper,193.0,right,Germany,,L1,2021,bayern munich,germany,18000000.0,2011-07-01,2023-06-30,,,,,PRO Profil GmbH,manuel neuer,manuel,neuer,m,germany,GK,Goalkeeper,Goalkeeper,35.0,25.0,10.0,1.0,16200000.0
17965,hugo lloris,26.0,12.0,1986.0,Nizza,France,1986-12-26,Goalkeeper,188.0,left,France,,GB1,2021,tottenham hotspur,england,9000000.0,2012-08-31,2022-06-30,,,,,,hugo lloris,hugo,lloris,h,england,GK,Goalkeeper,Goalkeeper,34.0,25.0,8.0,0.0,8100000.0
18644,álvaro negredo,20.0,8.0,1985.0,Madrid,Spain,1985-08-20,attack - Centre-Forward,186.0,left,Spain,,ES1,2021,cádiz cf,spain,1200000.0,2020-08-04,2022-06-30,,,,,Niagara Sports Company,alvaro negredo,alvaro,negredo,a,spain,ST,Forward,Outfielder,36.0,34.0,1.0,0.0,1080000.0
18909,jimmy briand,2.0,8.0,1985.0,Vitry-sur-Seine,France,1985-08-02,attack - Centre-Forward,183.0,right,,Martinique,FR1,2021,fc girondins bordeaux,france,1100000.0,2018-08-10,2022-06-30,,,,,TTMA,jimmy briand,jimmy,briand,j,france,ST,Forward,Outfielder,36.0,33.0,3.0,0.0,990000.0
18922,karim benzema,19.0,12.0,1987.0,Lyon,France,1987-12-19,attack - Centre-Forward,184.0,both,,Algeria,ES1,2021,real madrid,spain,25000000.0,2009-07-09,2023-06-30,,,,,,karim benzema,karim,benzema,k,spain,ST,Forward,Outfielder,33.0,21.0,12.0,1.0,22500000.0
18934,thomas mangani,29.0,4.0,1987.0,Carpentras,France,1987-04-29,midfield - Central Midfield,183.0,left,,Italy,FR1,2021,sco angers,france,1000000.0,2015-07-01,2022-06-30,,,,,Kemari,thomas mangani,thomas,mangani,t,france,CM,Midfielder,Outfielder,34.0,28.0,6.0,0.0,900000.0
18944,gerard piqué,2.0,2.0,1987.0,Barcelona,Spain,1987-02-02,Defender - Centre-Back,194.0,right,Spain,,ES1,2021,fc barcelona,spain,10000000.0,2008-07-01,2024-06-30,,,,,AC Talent,gerard pique,gerard,pique,g,spain,CB,Defender,Outfielder,34.0,21.0,13.0,2.0,9000000.0
20005,papu gómez,15.0,2.0,1988.0,Buenos Aires,Argentina,1988-02-15,attack - Second Striker,167.0,right,,Italy,ES1,2021,sevilla fc,spain,9000000.0,2021-01-26,2024-06-30,,,,,Gr Sports,papu gomez,papu,gomez,p,spain,SS,Forward,Outfielder,33.0,32.0,0.0,2.0,8100000.0
20463,corentin jean,15.0,7.0,1995.0,Blois,France,1995-07-15,attack - Centre-Forward,170.0,right,France,,FR1,2021,rc lens,france,1600000.0,2020-07-01,2023-06-30,,,,,firsteleven ISM,corentin jean,corentin,jean,c,france,ST,Forward,Outfielder,26.0,24.0,1.0,1.0,1440000.0
20506,andrés guardado,28.0,9.0,1986.0,Guadalajara,Mexico,1986-09-28,midfield - Central Midfield,169.0,left,,Spain,ES1,2021,real betis balompié,spain,1500000.0,2017-07-07,2022-06-30,,,,,,andres guardado,andres,guardado,a,spain,CM,Midfielder,Outfielder,34.0,30.0,4.0,0.0,1350000.0
21726,philipp tschauner,3.0,11.0,1985.0,Schwabach,Germany,1985-11-03,Goalkeeper,196.0,right,Germany,,L1,2021,rb leipzig,germany,300000.0,2019-07-30,2022-06-30,,,,,,philipp tschauner,philipp,tschauner,p,germany,GK,Goalkeeper,Goalkeeper,35.0,33.0,2.0,0.0,270000.0
21763,federico peluso,20.0,1.0,1984.0,Roma,Italy,1984-01-20,Defender - Centre-Back,188.0,left,Italy,,IT1,2021,us sassuolo,italy,400000.0,2014-07-03,2022-06-30,,,,,PLAYER MANAGEMENT SRL,federico peluso,federico,peluso,f,italy,CB,Defender,Outfielder,37.0,30.0,7.0,0.0,360000.0
21872,gianluca pegolo,25.0,3.0,1981.0,Bassano del Grappa,Italy,1981-03-25,Goalkeeper,183.0,left,Italy,,IT1,2021,us sassuolo,italy,100000.0,2013-09-02,2022-06-30,,,,,P&P Sport Management S.A.M.,gianluca pegolo,gianluca,pegolo,g,italy,GK,Goalkeeper,Goalkeeper,40.0,32.0,7.0,0.0,90000.0
21905,valon behrami,19.0,4.0,1985.0,Mitrovicë,Jugoslawien (SFR),1985-04-19,midfield - Defensive Midfield,184.0,right,,Kosovo,IT1,2021,genoa cfc,italy,400000.0,2020-01-02,2022-06-30,,,,,QUAN SPORTS MANAGEMENT ITALIA,valon behrami,valon,behrami,v,italy,CDM,Midfielder,Outfielder,36.0,34.0,1.0,0.0,360000.0
21972,cristian molinaro,30.0,7.0,1983.0,Vallo della Lucania,Italy,1983-07-30,Defender - Left-Back,182.0,left,Italy,,IT1,2021,venezia fc,italy,75000.0,2020-01-15,2024-06-30,,,,,no agent,cristian molinaro,cristian,molinaro,c,italy,LB,Defender,Outfielder,38.0,36.0,1.0,2.0,67500.0
22318,federico marchetti,7.0,2.0,1983.0,Bassano del Grappa,Italy,1983-02-07,Goalkeeper,188.0,left,Italy,,IT1,2021,genoa cfc,italy,200000.0,2018-07-01,2022-06-30,,,,,AGB Sport Management,federico marchetti,federico,marchetti,f,italy,GK,Goalkeeper,Goalkeeper,38.0,35.0,3.0,0.0,180000.0
22328,fabio quagliarella,31.0,1.0,1983.0,Castellammare di Stabia,Italy,1983-01-31,attack - Centre-Forward,180.0,right,Italy,,IT1,2021,uc sampdoria,italy,1000000.0,2016-07-01,2022-06-30,,,,,AGB Sport Management,fabio quagliarella,fabio,quagliarella,f,italy,ST,Forward,Outfielder,38.0,33.0,5.0,0.0,900000.0
22628,benoît costil,3.0,7.0,1987.0,Caen,France,1987-07-03,Goalkeeper,188.0,right,France,,FR1,2021,fc girondins bordeaux,france,2800000.0,2017-07-01,2022-06-30,,,,,SVF FOOT,benoit costil,benoit,costil,b,france,GK,Goalkeeper,Goalkeeper,34.0,30.0,4.0,0.0,2520000.0
23951,steve mandanda,28.0,3.0,1985.0,Kinshasa,Zaire,1985-03-28,Goalkeeper,185.0,right,,DR Congo,FR1,2021,olympique marseille,france,2000000.0,2017-07-11,2024-06-30,,,,,S.C. Sports Management,steve mandanda,steve,mandanda,s,france,GK,Goalkeeper,Goalkeeper,36.0,32.0,4.0,2.0,1800000.0
23960,jérémy morel,2.0,4.0,1984.0,Lorient,France,1984-04-02,Defender - Centre-Back,172.0,left,,France,FR1,2021,fc lorient,france,400000.0,2020-07-01,2022-06-30,,,,,Léandre Chouya,jeremy morel,jeremy,morel,j,france,CB,Defender,Outfielder,37.0,36.0,1.0,0.0,360000.0
23974,romain salin,29.0,7.0,1984.0,Mayenne,France,1984-07-29,Goalkeeper,189.0,left,France,,FR1,2021,stade rennais fc,france,500000.0,2019-07-01,2022-06-30,,,,,Relatives,romain salin,romain,salin,r,france,GK,Goalkeeper,Goalkeeper,37.0,34.0,2.0,0.0,450000.0
24112,rune jarstein,29.0,9.0,1984.0,Porsgrunn,Norway,1984-09-29,Goalkeeper,192.0,right,Norway,,L1,2021,hertha bsc,germany,500000.0,2014-01-01,2023-06-30,,,,,Golden Patch Management,rune jarstein,rune,jarstein,r,germany,GK,Goalkeeper,Goalkeeper,36.0,29.0,7.0,1.0,450000.0
25488,antonio candreva,28.0,2.0,1987.0,Roma,Italy,1987-02-28,midfield - Right Midfield,180.0,right,Italy,,IT1,2021,uc sampdoria,italy,2500000.0,2021-07-01,2024-06-30,,,,,P&P Sport Management S.A.M.,antonio candreva,antonio,candreva,a,italy,RM,Midfielder,Outfielder,34.0,34.0,0.0,2.0,2250000.0
25508,salvatore sirigu,12.0,1.0,1987.0,Nuoro,Italy,1987-01-12,Goalkeeper,192.0,right,Italy,,IT1,2021,genoa cfc,italy,2500000.0,2021-08-03,2022-06-30,Option for a further year,,,,Carlo Pallavicino,salvatore sirigu,salvatore,sirigu,s,italy,GK,Goalkeeper,Goalkeeper,34.0,34.0,0.0,0.0,2250000.0
25557,sergio ramos,30.0,3.0,1986.0,Camas,Spain,1986-03-30,Defender - Centre-Back,184.0,right,Spain,,FR1,2021,paris saint-germain,france,10000000.0,2021-07-08,2023-06-30,,,,,RR-Soccer Management Agency,sergio ramos,sergio,ramos,s,france,CB,Defender,Outfielder,35.0,35.0,0.0,1.0,9000000.0
26267,fernandinho,4.0,5.0,1985.0,Londrina,Brazil,1985-05-04,midfield - Defensive Midfield,179.0,right,Brazil,,GB1,2021,manchester city,england,2000000.0,2013-07-01,2022-06-30,,,,,Branchini Associati S.p.A.,fernandinho,fernandinho,fernandinho,f,england,CDM,Midfielder,Outfielder,36.0,28.0,8.0,0.0,1800000.0
26399,sergio agüero,2.0,6.0,1988.0,Quilmes,Argentina,1988-06-02,attack - Centre-Forward,173.0,right,,Spain,ES1,2021,fc barcelona,spain,18000000.0,2021-07-01,2023-06-30,,,,,Eleven Talent Group,sergio aguero,sergio,aguero,s,spain,ST,Forward,Outfielder,33.0,33.0,0.0,1.0,16200000.0
27374,sidnei,23.0,8.0,1989.0,Alegrete,Brazil,1989-08-23,Defender - Centre-Back,185.0,right,,Spain,ES1,2021,real betis balompié,spain,2500000.0,2018-08-02,2022-06-30,,,,,YOU FIRST SPORTS,sidnei,sidnei,sidnei,s,spain,CB,Defender,Outfielder,32.0,28.0,3.0,0.0,2250000.0
27389,kévin gameiro,9.0,5.0,1987.0,Senlis,France,1987-05-09,attack - Centre-Forward,172.0,right,France,,FR1,2021,rc strasbourg alsace,france,3000000.0,2021-07-18,2023-06-30,,,,,Team Spirit Football Consult.,kevin gameiro,kevin,gameiro,k,france,ST,Forward,Outfielder,34.0,34.0,0.0,1.0,2700000.0
27486,kiko casilla,2.0,10.0,1986.0,Alcover,Spain,1986-10-02,Goalkeeper,190.0,right,Spain,,ES1,2021,elche cf,spain,800000.0,2021-07-12,2023-06-30,,leeds united,england,2022-06-30,CONTROL ORIENTADO,kiko casilla,kiko,casilla,k,spain,GK,Goalkeeper,Goalkeeper,34.0,34.0,0.0,1.0,720000.0
27490,jean-louis leca,21.0,9.0,1985.0,Bastia,France,1985-09-21,Goalkeeper,180.0,right,France,,FR1,2021,rc lens,france,800000.0,2018-07-01,2022-06-30,,,,,Bemavõ corp,jean-louis leca,jean-louis,leca,j,france,GK,Goalkeeper,Goalkeeper,35.0,32.0,3.0,0.0,720000.0
27807,daniele padelli,25.0,10.0,1985.0,Lecco,Italy,1985-10-25,Goalkeeper,191.0,right,Italy,,IT1,2021,udinese calcio,italy,400000.0,2021-07-01,2023-06-30,,,,,Assist,daniele padelli,daniele,padelli,d,italy,GK,Goalkeeper,Goalkeeper,35.0,35.0,0.0,1.0,360000.0
27992,luka modric,9.0,9.0,1985.0,Zadar,Jugoslawien (SFR),1985-09-09,midfield - Central Midfield,172.0,both,Croatia,,ES1,2021,real madrid,spain,10000000.0,2012-08-27,2022-06-30,,,,,Universal Sports Group,luka modric,luka,modric,l,spain,CM,Midfielder,Outfielder,35.0,26.0,9.0,0.0,9000000.0
28003,lionel messi,24.0,6.0,1987.0,Rosario,Argentina,1987-06-24,attack - Right Winger,169.0,left,,Spain,FR1,2021,paris saint-germain,france,80000000.0,2021-08-10,2023-06-30,Option for a further year,,,,Relatives,lionel messi,lionel,messi,l,france,RW,Forward,Outfielder,34.0,34.0,0.0,1.0,72000000.0
28021,samir handanovic,14.0,7.0,1984.0,Ljubljana,Jugoslawien (SFR),1984-07-14,Goalkeeper,193.0,right,Slovenia,,IT1,2021,inter milan,italy,2500000.0,2012-07-09,2022-06-30,,,,,LIAN Sports Group,samir handanovic,samir,handanovic,s,italy,GK,Goalkeeper,Goalkeeper,37.0,28.0,9.0,0.0,2250000.0
28356,denis petric,24.0,5.0,1988.0,Ljubljana,Jugoslawien (SFR),1988-05-24,Goalkeeper,186.0,right,,Slovenia,FR1,2021,fc nantes,france,250000.0,2019-08-01,2022-06-30,,,,,H2C Sport Consulting,denis petric,denis,petric,d,france,GK,Goalkeeper,Goalkeeper,33.0,31.0,2.0,0.0,225000.0
28396,edin dzeko,17.0,3.0,1986.0,Sarajevo,Jugoslawien (SFR),1986-03-17,attack - Centre-Forward,193.0,right,Bosnia-Herzegovina,,IT1,2021,inter milan,italy,4000000.0,2021-08-14,2023-06-30,,,,,Alessandro Lucci - WSA,edin dzeko,edin,dzeko,e,italy,ST,Forward,Outfielder,35.0,35.0,0.0,1.0,3600000.0
29051,manolo reina,1.0,4.0,1985.0,Villanueva del Trabuco,Spain,1985-04-01,Goalkeeper,186.0,right,Spain,,ES1,2021,rcd mallorca,spain,200000.0,2017-07-06,2022-06-30,,,,,no agent,manolo reina,manolo,reina,m,spain,GK,Goalkeeper,Goalkeeper,36.0,32.0,4.0,0.0,180000.0
29241,thiago silva,22.0,9.0,1984.0,Rio de Janeiro,Brazil,1984-09-22,Defender - Centre-Back,183.0,right,,France,GB1,2021,chelsea fc,england,3000000.0,2020-08-28,2022-06-30,,,,,Paulo Tonietto,thiago silva,thiago,silva,t,england,CB,Defender,Outfielder,36.0,35.0,1.0,0.0,2700000.0
29260,giorgio chiellini,14.0,8.0,1984.0,Pisa,Italy,1984-08-14,Defender - Centre-Back,187.0,left,Italy,,IT1,2021,juventus fc,italy,1500000.0,2005-07-01,2023-06-30,,,,,Reset Group Srl,giorgio chiellini,giorgio,chiellini,g,italy,CB,Defender,Outfielder,37.0,20.0,16.0,1.0,1350000.0
29364,joão moutinho,8.0,9.0,1986.0,Portimão,Portugal,1986-09-08,midfield - Central Midfield,170.0,right,Portugal,,GB1,2021,wolverhampton wanderers,england,4000000.0,2018-07-24,2022-06-30,,,,,Gestifute,joao moutinho,joao,moutinho,j,england,CM,Midfielder,Outfielder,34.0,31.0,3.0,0.0,3600000.0
29391,michael mcgovern,12.0,7.0,1984.0,Enniskillen,Northern Ireland,1984-07-12,Goalkeeper,190.0,right,Northern Ireland,,GB1,2021,norwich city,england,250000.0,2016-07-19,2023-06-30,,,,,World in Motion,michael mcgovern,michael,mcgovern,m,england,GK,Goalkeeper,Goalkeeper,37.0,32.0,5.0,1.0,225000.0
29692,lukasz fabianski,18.0,4.0,1985.0,Kostrzyn nad Odrą,Poland,1985-04-18,Goalkeeper,190.0,right,Poland,,GB1,2021,west ham united,england,1500000.0,2018-07-01,2022-06-30,,,,,ROOF,lukasz fabianski,lukasz,fabianski,l,england,GK,Goalkeeper,Goalkeeper,36.0,33.0,3.0,0.0,1350000.0
29712,john ruddy,24.0,10.0,1986.0,St. Ives,England,1986-10-24,Goalkeeper,192.0,right,England,,GB1,2021,wolverhampton wanderers,england,800000.0,2017-07-10,2022-06-30,,,,,Wasserman,john ruddy,john,ruddy,j,england,GK,Goalkeeper,Goalkeeper,34.0,30.0,4.0,0.0,720000.0
30321,óscar trejo,26.0,4.0,1988.0,Santiago del Estero,Argentina,1988-04-26,midfield - Attacking Midfield,180.0,right,,Italy,ES1,2021,rayo vallecano,spain,800000.0,2017-07-01,2023-06-30,,,,,Eleven Talent Group,oscar trejo,oscar,trejo,o,spain,CAM,Midfielder,Outfielder,33.0,29.0,4.0,1.0,720000.0
31653,tobias sippel,22.0,3.0,1988.0,Bad Dürkheim,Germany,1988-03-22,Goalkeeper,183.0,right,Germany,,L1,2021,borussia mönchengladbach,germany,400000.0,2015-07-01,2023-06-30,,,,,Dr. Michael Becker,tobias sippel,tobias,sippel,t,germany,GK,Goalkeeper,Goalkeeper,33.0,27.0,6.0,1.0,360000.0
31835,mark noble,8.0,5.0,1987.0,London,England,1987-05-08,midfield - Central Midfield,180.0,right,,Ireland,GB1,2021,west ham united,england,2000000.0,2004-01-01,2022-06-30,,,,,10Ten Football,mark noble,mark,noble,m,england,CM,Midfielder,Outfielder,34.0,16.0,17.0,0.0,1800000.0
31909,toni kroos,4.0,1.0,1990.0,Greifswald,DDR,1990-01-04,midfield - Central Midfield,183.0,right,Germany,,ES1,2021,real madrid,spain,40000000.0,2014-07-17,2023-06-30,,,,,Sports360 GmbH,toni kroos,toni,kroos,t,spain,CM,Midfielder,Outfielder,31.0,24.0,7.0,1.0,36000000.0
32113,armando izzo,2.0,3.0,1992.0,Napoli,Italy,1992-03-02,Defender - Centre-Back,183.0,right,Italy,,IT1,2021,torino fc,italy,10000000.0,2018-07-04,2024-06-30,,,,,Paolo Palermo,armando izzo,armando,izzo,a,italy,CB,Defender,Outfielder,29.0,26.0,3.0,2.0,9000000.0
