Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles.Tkl,Tackles.TklW,Tackles.Def 3rd,Tackles.Mid 3rd,Tackles.Att 3rd,Vs Dribbles.Tkl,Vs Dribbles.Att,Vs Dribbles.Tkl%,Vs Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures.%,Pressures.Def 3rd,Pressures.Mid 3rd,Pressures.Att 3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Clr,Err
200,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,6.5,0.77,0.62,0.00,0.46,0.31,0.46,0.62,75.0,0.15,17.4,4.92,28.3,1.23,8.00,8.15,0.31,0.00,0.00,0.31,0.15,0.62,0.00
201,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,22.3,1.57,1.08,0.63,0.63,0.31,0.54,2.51,21.4,1.97,30.6,7.71,25.2,5.34,13.3,11.9,2.33,0.22,0.00,2.11,0.31,0.58,0.00
202,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,13.0,1.77,1.00,0.77,0.85,0.15,0.62,2.08,29.6,1.46,23.5,5.92,25.2,6.00,11.8,5.69,0.85,0.23,0.00,0.62,0.54,0.23,0.08
203,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,1.4,2.86,1.43,2.14,0.71,0.00,0.71,1.43,50.0,0.71,11.4,3.57,31.3,7.14,4.29,0.00,2.86,1.43,0.00,1.43,0.71,12.9,0.00
204,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.2,2.19,0.94,0.63,0.63,0.94,0.94,1.88,50.0,0.94,15.6,6.25,40.0,4.69,5.00,5.94,1.56,0.00,0.00,1.56,0.31,0.94,0.00
205,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,24.2,1.03,0.62,0.25,0.50,0.29,0.25,1.69,14.6,1.45,22.7,5.87,25.9,4.92,10.5,7.23,1.40,0.17,0.00,1.24,0.29,0.33,0.00
206,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,20.0,100.0,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
207,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,11.8,2.46,1.27,1.27,0.85,0.34,1.02,1.86,54.5,0.85,15.8,3.73,23.5,7.29,6.53,2.03,2.63,0.51,0.00,2.12,1.44,2.29,0.00
208,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.8,2.35,0.88,1.03,0.74,0.59,0.88,2.50,35.3,1.62,20.1,4.56,22.6,8.09,7.79,4.26,2.06,0.29,0.00,1.76,0.88,3.68,0.00
209,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,14.9,1.41,1.07,0.27,0.47,0.67,0.34,1.34,25.0,1.01,21.6,6.44,29.8,1.21,8.39,12.0,1.28,0.13,0.00,1.14,0.67,0.27,0.00
210,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,27.4,0.95,0.73,0.22,0.47,0.26,0.07,0.73,10.0,0.66,17.8,4.20,23.6,0.95,8.94,7.92,0.91,0.15,0.00,0.77,0.47,0.77,0.00
211,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,24.9,1.00,0.60,0.16,0.52,0.32,0.36,1.04,34.6,0.68,21.4,4.74,22.1,2.33,11.3,7.75,1.04,0.24,0.04,0.80,0.40,1.04,0.00
212,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,0.2,5.00,0.00,0.00,0.00,5.00,5.00,5.00,100.0,0.00,35.0,5.00,14.3,0.00,10.0,25.0,10.0,0.00,0.00,10.0,5.00,0.00,0.00
213,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,2.67,1.33,1.33,1.33,0.00,1.33,1.33,100.0,0.00,12.0,6.00,50.0,8.00,3.33,0.67,0.67,0.00,0.00,0.67,2.67,12.7,0.67
214,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,22.4,2.63,1.70,0.94,1.25,0.45,1.03,3.13,32.9,2.10,20.4,5.80,28.4,6.92,10.9,2.59,1.61,0.22,0.04,1.38,2.50,1.43,0.00
215,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.5,0.57,0.29,0.29,0.29,0.00,0.29,1.43,20.0,1.14,31.4,4.57,14.5,11.7,13.4,6.29,0.86,0.00,0.00,0.86,0.57,1.71,0.00
216,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,19.7,1.57,1.02,0.66,0.76,0.15,0.56,1.78,31.4,1.22,25.1,5.74,22.9,5.48,12.6,6.95,0.56,0.00,0.00,0.56,0.36,0.36,0.00
217,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,2.2,1.36,0.91,0.45,0.91,0.00,0.91,2.27,40.0,1.36,19.5,5.91,30.2,8.18,8.18,3.18,3.64,0.91,0.00,2.73,0.45,2.27,0.00
218,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,17.5,2.00,1.20,1.54,0.46,0.00,0.69,1.54,44.4,0.86,10.7,3.60,33.7,5.83,4.00,0.86,2.11,0.91,0.00,1.20,1.77,7.37,0.06
219,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,19.8,0.66,0.40,0.15,0.45,0.05,0.15,0.71,21.4,0.56,17.7,3.84,21.7,0.91,8.59,8.18,0.91,0.35,0.00,0.56,0.20,0.96,0.00
220,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,15.4,3.44,2.66,1.69,1.43,0.32,0.78,2.01,38.7,1.23,25.9,8.18,31.6,8.70,11.4,5.84,2.47,0.13,0.00,2.34,2.60,1.88,0.00
221,Moise Kean\Moise-Kean,it ITA,FWMF,Everton,19,2000,7.5,0.93,0.80,0.27,0.27,0.40,0.00,0.27,0.0,0.27,13.6,4.27,31.4,1.20,6.27,6.13,0.40,0.13,0.00,0.27,0.67,0.40,0.00
222,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,19.4,1.55,0.93,0.98,0.57,0.00,0.62,1.08,57.1,0.46,6.91,2.42,35.1,4.48,2.22,0.21,1.55,0.57,0.00,0.98,1.55,7.27,0.00
223,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,4.1,3.66,2.93,1.22,1.95,0.49,1.71,3.17,53.8,1.46,27.8,10.2,36.8,5.37,12.4,10.0,2.44,0.00,0.00,2.44,1.46,0.49,0.00
224,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,1.40,1.05,1.05,0.35,0.00,0.70,1.69,41.4,0.99,10.5,3.66,34.8,7.50,2.44,0.58,2.91,0.87,0.00,2.03,0.87,5.93,0.17
225,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.0,2.00,1.50,1.50,0.50,0.00,1.00,2.00,50.0,1.00,8.50,2.50,29.4,5.50,2.50,0.50,1.00,0.50,0.00,0.50,2.00,8.50,0.00
226,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,16.3,0.92,0.67,0.37,0.37,0.18,0.06,0.55,11.1,0.49,23.2,5.46,23.5,3.74,10.4,9.02,1.23,0.18,0.00,1.04,0.31,0.61,0.00
227,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.0,0.83,27.5,7.50,27.3,5.00,12.5,10.0,1.67,1.67,0.00,0.00,0.00,1.67,0.00
228,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,12.3,2.36,1.22,1.46,0.49,0.41,0.65,1.38,47.1,0.73,12.7,3.25,25.6,6.34,4.23,2.11,0.98,0.24,0.00,0.73,0.81,1.95,0.00
229,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,13.3,1.65,1.13,1.13,0.53,0.00,0.45,0.83,54.5,0.38,9.02,3.31,36.7,5.41,2.48,1.13,2.18,1.28,0.00,0.90,0.98,3.98,0.15
230,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,29,1989,22.1,2.62,1.81,1.72,0.86,0.05,0.86,1.67,51.4,0.81,15.2,4.66,30.7,7.29,5.97,1.90,2.26,0.36,0.00,1.90,1.18,2.71,0.05
231,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,18.7,3.26,2.46,1.23,1.82,0.21,1.28,3.37,38.1,2.09,22.9,7.49,32.7,6.84,12.2,3.80,1.18,0.05,0.00,1.12,0.96,0.75,0.00
232,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,6.3,1.90,1.27,1.27,0.32,0.32,0.63,2.38,26.7,1.75,14.6,4.13,28.3,8.57,4.29,1.75,1.11,0.32,0.00,0.79,0.79,3.65,0.00
233,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,27.0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.0,0.04,0.22,0.04,16.7,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00
234,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,14.6,1.23,1.03,0.21,0.75,0.27,0.21,0.62,33.3,0.41,23.2,5.75,24.9,2.60,11.0,9.52,0.68,0.00,0.00,0.68,0.34,0.48,0.00
235,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.1,4.88,2.93,2.20,2.20,0.49,2.20,6.59,33.3,4.39,32.2,10.0,31.1,11.0,13.2,8.05,3.17,0.00,0.00,3.17,0.98,0.73,0.00
236,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,10.4,2.02,1.73,0.48,1.15,0.38,0.29,1.63,17.6,1.35,25.0,6.92,27.7,5.96,12.2,6.83,1.35,0.19,0.00,1.15,0.38,0.48,0.00
237,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.3,6.67,0.00,3.33,3.33,0.00,6.67,6.67,100.0,0.00,10.0,10.0,100.0,3.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
238,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.1,2.38,0.95,1.43,0.48,0.48,0.00,1.90,0.0,1.90,28.6,8.57,30.0,11.0,8.57,9.05,2.86,0.00,0.00,2.86,0.00,0.48,0.00
239,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,13.2,0.76,0.61,0.38,0.23,0.15,0.38,2.20,17.2,1.82,23.6,5.23,22.1,4.77,14.0,4.85,0.83,0.08,0.00,0.76,0.61,0.30,0.00
240,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,5.6,0.89,0.54,0.54,0.36,0.00,0.54,1.25,42.9,0.71,5.18,1.96,37.9,2.86,2.14,0.18,0.36,0.36,0.00,0.00,2.14,4.11,0.00
241,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,18.1,0.83,0.44,0.61,0.22,0.00,0.17,0.61,27.3,0.44,7.18,2.65,36.9,4.92,1.99,0.28,1.55,0.88,0.00,0.66,1.33,7.07,0.06
242,Valentino Lazaro\Valentino-Lazaro,at AUT,DF,Newcastle Utd,23,1996,2.4,1.67,0.00,1.67,0.00,0.00,0.42,2.92,14.3,2.50,22.1,6.25,28.3,12.1,7.50,2.50,1.25,0.00,0.00,1.25,0.00,0.83,0.00
243,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,2.37,1.18,1.32,0.79,0.26,0.66,2.63,25.0,1.97,21.1,4.34,20.6,11.2,6.45,3.42,2.37,0.66,0.00,1.71,1.05,0.79,0.00
244,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,1.63,1.22,1.22,0.41,0.00,1.02,1.84,55.6,0.82,11.8,3.88,32.8,7.96,3.67,0.20,2.65,0.41,0.00,2.24,2.24,5.51,0.20
245,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.4,2.78,1.67,1.30,0.74,0.74,1.67,2.59,64.3,0.93,26.5,5.00,18.9,6.85,12.4,7.22,1.48,0.37,0.00,1.11,1.30,1.11,0.00
246,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,28.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.0,0.11,0.04,0.00,0.0,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.04
247,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,21.6,2.82,1.71,1.11,1.53,0.19,1.02,2.13,47.8,1.11,19.8,5.65,28.6,7.31,11.1,1.39,1.48,0.46,0.00,1.02,1.94,2.22,0.00
248,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,16.6,2.29,1.14,1.69,0.30,0.30,0.60,1.81,33.3,1.20,16.3,5.18,31.7,9.76,4.46,2.11,2.41,0.48,0.00,1.93,1.08,3.25,0.06
249,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,26.0,0.92,0.54,0.65,0.23,0.04,0.46,0.50,92.3,0.04,6.38,2.12,33.1,3.19,3.08,0.12,1.38,0.62,0.00,0.77,0.65,5.00,0.00
250,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,9.9,1.21,0.81,0.51,0.20,0.51,0.30,1.41,21.4,1.11,32.6,7.98,24.5,5.96,17.2,9.49,0.81,0.10,0.00,0.71,0.20,0.10,0.00
251,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,11.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.09,0.00,0.0,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.18
252,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,9.7,2.78,2.27,0.72,1.75,0.31,0.62,3.81,16.2,3.20,28.0,9.48,33.8,9.18,14.6,4.23,1.44,0.41,0.00,1.03,0.52,1.65,0.00
253,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,1.00,1.00,0.00,1.00,0.00,0.00,0.00,,0.00,12.0,6.00,50.0,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
254,Kevin Long\Kevin-Long,ie IRL,MF,Burnley,28,1990,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,1,0
255,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,12.7,1.10,0.87,0.24,0.63,0.24,0.24,1.34,17.6,1.10,21.1,6.69,31.7,1.81,7.80,11.5,1.18,0.31,0.00,0.87,0.08,0.79,0.08
256,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.1,0.98,0.49,0.49,0.49,0.00,0.16,1.80,9.1,1.64,30.2,5.41,17.9,12.1,15.9,2.13,0.49,0.16,0.16,0.33,0.82,0.33,0.00
257,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,14.4,2.57,1.39,1.18,1.18,0.21,1.04,3.26,31.9,2.22,33.1,7.22,21.8,14.0,16.0,3.06,2.01,0.21,0.00,1.81,1.46,2.01,0.14
258,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.4,1.90,1.07,1.43,0.48,0.00,0.83,1.43,58.3,0.60,9.17,2.62,28.6,6.43,2.62,0.12,1.55,0.71,0.00,0.83,1.19,9.40,0.12
259,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,15.0,2.67,1.47,1.20,1.27,0.20,1.40,2.67,52.5,1.27,12.5,3.73,29.9,6.07,4.60,1.80,2.60,0.60,0.07,2.00,1.67,4.60,0.07
260,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,24.3,1.23,0.78,0.78,0.41,0.04,0.41,0.95,43.5,0.53,6.58,2.35,35.6,4.86,1.52,0.21,2.14,1.23,0.00,0.91,1.03,5.76,0.08
261,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,19.0,1.63,1.05,1.00,0.42,0.21,0.63,2.63,24.0,2.00,21.9,5.42,24.7,9.68,9.32,2.95,2.21,0.63,0.05,1.58,0.89,1.37,0.05
262,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,23.0,1.83,1.17,0.83,0.61,0.39,0.65,2.43,26.8,1.78,22.3,6.30,28.3,6.17,11.1,4.96,1.00,0.17,0.00,0.83,1.17,1.83,0.00
263,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,FW,Brighton,20,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,40.0,20.0,50.0,0.00,30.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
264,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,26.7,1.91,1.35,0.64,0.79,0.49,0.75,2.40,31.3,1.65,22.1,6.93,31.4,5.62,11.9,4.53,0.67,0.04,0.00,0.64,0.37,0.30,0.04
265,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,29.0,1.21,0.83,0.66,0.52,0.03,0.34,0.93,37.0,0.59,6.62,2.55,38.5,4.14,2.21,0.28,1.17,0.62,0.00,0.55,1.93,6.93,0.03
266,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,15.4,1.56,0.97,0.45,0.65,0.45,0.58,2.53,23.1,1.95,20.5,5.58,27.3,3.83,8.25,8.38,2.14,0.00,0.00,2.14,1.10,0.45,0.00
267,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,13.4,2.46,1.57,1.79,0.60,0.07,0.90,2.54,35.3,1.64,19.0,5.45,28.7,11.5,5.52,1.94,2.01,0.37,0.00,1.64,1.94,2.69,0.00
268,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,23.2,1.68,1.21,0.43,0.86,0.39,0.56,1.59,35.1,1.03,18.5,5.65,30.5,4.27,6.34,7.93,0.99,0.04,0.00,0.95,0.43,0.17,0.00
269,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,10.7,3.08,2.06,2.06,0.65,0.37,1.12,2.06,54.5,0.93,15.2,4.67,30.7,7.94,5.79,1.50,2.52,0.47,0.00,2.06,1.03,2.90,0.00
270,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,9.8,1.94,1.22,1.02,0.82,0.10,0.61,1.53,40.0,0.92,11.9,3.27,27.4,3.37,4.69,3.88,1.63,0.20,0.00,1.43,1.84,1.43,0.10
271,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.0,3.00,1.00,2.00,1.00,0.00,1.00,2.00,50.0,1.00,9.00,2.00,22.2,4.00,4.00,1.00,1.00,0.00,0.00,1.00,0.00,13.0,0.00
272,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,13.6,1.54,0.74,1.03,0.37,0.15,0.66,1.99,33.3,1.32,12.0,3.68,30.7,6.69,4.34,0.96,2.13,0.51,0.00,1.62,0.74,6.40,0.07
273,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,20.9,0.43,0.38,0.00,0.10,0.33,0.00,0.19,0.0,0.19,14.7,4.31,29.3,0.72,5.02,8.95,0.62,0.00,0.00,0.62,0.05,0.62,0.00
274,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.21,0.21,100.0,0.21,0.00,0.00,0.21,0.00,0.00,0.21,0.00,0.00,0.21
275,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.3,3.15,1.78,1.64,1.23,0.27,0.82,2.33,35.3,1.51,33.8,9.45,27.9,12.1,13.8,7.95,2.74,0.14,0.00,2.60,0.41,0.96,0.00
276,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,13.6,2.35,1.54,1.40,0.74,0.22,0.81,2.57,31.4,1.76,14.9,4.34,29.2,6.76,6.18,1.91,2.28,0.88,0.15,1.40,1.40,5.44,0.15
277,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.1,4.06,2.67,2.67,1.09,0.30,0.99,2.77,35.7,1.78,21.1,6.14,29.1,12.1,7.72,1.29,2.77,0.30,0.00,2.48,1.29,2.87,0.10
278,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.1,0.99,0.86,0.25,0.49,0.25,0.25,1.60,15.4,1.36,14.1,4.32,30.7,2.22,6.42,5.43,0.86,0.12,0.00,0.74,0.00,0.12,0.00
279,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,10.7,2.06,1.31,0.93,1.03,0.09,0.37,1.68,22.2,1.31,16.6,5.33,32.0,5.98,9.25,1.40,1.68,0.56,0.00,1.12,1.31,2.15,0.09
280,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.0,1.71,1.29,0.71,0.71,0.29,0.71,1.71,41.7,1.00,8.57,3.71,43.3,4.86,3.43,0.29,1.00,0.43,0.00,0.57,1.71,10.7,0.00
281,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,23.5,0.85,0.55,0.26,0.38,0.21,0.17,1.11,15.4,0.94,23.3,6.26,26.9,2.30,9.02,12.0,1.02,0.09,0.00,0.94,0.17,0.21,0.00
282,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,27.0,3.04,1.96,1.26,1.41,0.37,0.96,2.89,33.3,1.93,28.0,7.37,26.3,10.7,13.6,3.70,3.04,0.78,0.04,2.26,1.93,1.96,0.00
283,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,15.9,1.64,1.01,0.50,0.88,0.25,0.38,1.82,20.7,1.45,29.2,7.48,25.6,2.77,13.8,12.6,1.57,0.19,0.00,1.38,0.88,1.95,0.00
284,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
285,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,13.0,4.69,2.62,2.38,2.00,0.31,1.46,3.46,42.2,2.00,24.6,6.31,25.6,10.5,11.1,3.08,1.85,0.31,0.00,1.54,1.69,1.23,0.00
286,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,17.1,2.69,1.81,1.11,0.99,0.58,1.05,2.87,36.7,1.81,22.6,6.37,28.2,6.14,11.1,5.38,1.40,0.12,0.00,1.29,0.94,0.94,0.06
287,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,15.1,2.19,1.39,0.46,1.26,0.46,0.26,0.79,33.3,0.53,25.2,6.69,26.5,2.12,13.6,9.47,1.19,0.20,0.07,0.99,0.20,1.19,0.00
288,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
289,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,25.4,1.50,0.91,0.83,0.55,0.12,0.55,1.69,32.6,1.14,19.1,5.04,26.4,7.20,9.13,2.72,1.65,0.20,0.04,1.46,1.26,2.40,0.00
290,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,28.2,1.60,0.82,0.60,0.60,0.39,0.57,1.70,33.3,1.13,20.5,4.68,22.8,5.50,9.68,5.32,1.74,0.07,0.00,1.67,0.74,0.78,0.00
291,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,17.2,2.67,1.57,1.05,1.45,0.17,0.81,1.86,43.8,1.05,13.3,4.24,32.0,4.88,7.09,1.28,1.98,0.35,0.00,1.63,1.57,2.62,0.00
292,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,29.0,1.10,0.48,0.69,0.41,0.00,0.66,1.24,52.8,0.59,5.52,1.83,33.1,3.24,2.07,0.21,2.17,1.14,0.00,1.03,1.52,9.07,0.00
293,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,12.4,1.37,1.05,0.56,0.48,0.32,0.56,2.02,28.0,1.45,9.60,2.50,26.1,4.03,3.31,2.26,1.21,0.16,0.00,1.05,1.05,2.66,0.08
294,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,2.2,2.27,1.82,1.36,0.45,0.45,0.45,0.91,50.0,0.45,10.0,3.64,36.4,5.91,3.64,0.45,1.36,0.00,0.00,1.36,2.27,2.73,0.00
295,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.0,2.10,1.20,1.30,0.80,0.00,0.90,1.60,56.3,0.70,12.4,4.50,36.3,8.10,3.70,0.60,2.00,1.20,0.00,0.80,1.70,7.50,0.10
296,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,6.1,2.30,1.15,1.31,0.98,0.00,0.49,2.30,21.4,1.80,21.1,5.41,25.6,9.02,9.84,2.30,1.80,0.16,0.00,1.64,0.98,0.49,0.00
297,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,22.1,2.22,1.40,1.27,0.86,0.09,1.00,2.62,37.9,1.63,18.7,4.57,24.4,9.28,7.92,1.54,1.58,0.23,0.00,1.36,1.54,2.58,0.05
298,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,8.4,1.55,0.83,0.36,0.95,0.24,0.36,2.14,16.7,1.79,16.9,4.40,26.1,5.48,8.93,2.50,1.55,0.36,0.12,1.19,0.71,2.62,0.00
299,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,23.2,1.72,0.78,1.16,0.47,0.09,0.56,1.08,52.0,0.52,8.92,2.63,29.5,5.82,2.54,0.56,1.47,0.65,0.00,0.82,1.16,7.20,0.00
300,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,0.9,1.11,0.00,1.11,0.00,0.00,0.00,1.11,0.0,1.11,28.9,7.78,26.9,7.78,12.2,8.89,1.11,0.00,0.00,1.11,0.00,1.11,0.00
301,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,22.3,0.90,0.63,0.63,0.22,0.04,0.31,0.49,63.6,0.18,5.47,2.51,45.9,3.68,1.43,0.36,2.60,2.06,0.09,0.54,0.94,7.17,0.22
302,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.0,2.50,26.7,6.67,25.0,3.33,13.3,10.0,1.67,0.00,0.00,1.67,0.00,0.83,0.00
303,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,1.33,1.33,1.00,0.33,0.00,0.33,1.00,33.3,0.67,11.3,3.33,29.4,6.33,4.33,0.67,1.00,0.33,0.00,0.67,1.00,5.67,0.00
