"","Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"4817","Lucas Douath","FRA","Saint-Etienne","Ligue 1","2020-2021","1522.23","17.41","17","MF","DefensiveCentralProgressor","327","3","11.57","88.43","Right","-0.72","-0.05","0.2","-1.78","0.05","","","","",""
"4818","Kevin Goden","GER","Nurnberg","Bundesliga","2018-2019","1492.29","19","21","DF,FW","DefensiveWideProgressor","273","3","10.77","89.23","Right","-0.72","-0.03","0.31","-2.43","0.1","","","","",""
"4819","Mason Toye","USA","Minnesota","MLS","2019","","20","22","FW","Finisher","823","9","14.63","85.37","Right","-0.72","-0.01","2.23","-1.18","0.24","188000","222429","","","136987"
"4820","Georginio Wijnaldum","NED","Liverpool","Premier League","2020-2021","1965.28","30.14","30","MF","AttackingCentralProgressor","1262","14","9.53","90.47","Right","-0.72","-0.02","1.85","-0.9","0.13","","","40000000","",""
"4821","Collen Warner","USA","Minnesota","MLS","2018","","29","32","MF","DefensiveCentralProgressor","1236","14","15.95","84.05","Right","-0.72","-0.03","1.31","-0.67","0.1","251004","307123","","","80472"
"4822","Sead Kolasinac","BIH","Arsenal","Premier League","2019-2020","1803.37","26","27","DF","OffensiveWideProgressor","1701","19","87.66","12.34","Left","-0.72","-0.04","2.74","-0.43","0.14","6860516","6120512","16000000","15602717",""
"4823","Krzysztof Piatek","POL","Milan","Serie A","2019-2020","1758.25","24","25","FW","Finisher","1183","14","4.17","95.83","Right","-0.73","-0.03","2.83","-0.58","0.22","3770554","2580468","","",""
"4824","Dawid Kownacki","POL","Dusseldorf","Bundesliga","2019-2020","1591.63","22","23","FW,MF","Finisher","1093","11","18.8","81.2","Right","-0.73","-0.07","2.23","-1.18","0.18","","","","",""
"4825","Sam Nicholson","SCO","Colorado","MLS","2018","","23","25","FW,MF","Dribbler","1516","19","23.82","76.18","Right","-0.73","-0.1","2.33","-0.67","0.14","","","","","143130"
"4826","Liam Ridgewell","ENG","Portland","MLS","2018","","33","36","DF","PossessionOrientedCentralDefender","1084","13","77.28","22.72","Left","-0.73","0.01","2.04","-0.76","0.17","700000","287889","","","125316"
"4827","Jacob Murphy","ENG","Newcastle Utd","Premier League","2017-2018","1666.88","22","25","FW,MF","Dribbler","1148","13","23.15","76.85","Right","-0.73","-0.06","2.33","-0.67","0.18","","","","",""
"4828","Harold Moukoudi","CMR","Saint-Etienne","Ligue 1","2019-2020","1549.8","21","23","DF","LowBlockCentralDefender","990","11","19.27","80.73","Right","-0.73","-0.01","1.34","-1.09","0.12","","","","",""
"4829","James Justin","ENG","Leicester City","Premier League","2019-2020","1762.14","21","22","DF","OffensiveWideProgressor","1012","11","18.59","81.41","Right","-0.73","0","2.03","-1.14","0.18","","","6000000","7318250",""
"4830","Danilo","BRA","Juventus","Serie A","2019-2020","1860.02","28","29","DF","OffensiveWideProgressor","1440","16","10.96","89.04","Right","-0.73","-0.01","2.74","-0.43","0.17","","","15000000","15490533",""
"4831","Andrey Galabinov","BUL","Genoa","Serie A","2017-2018","1561.46","28","32","FW","Finisher","1129","12","28.03","71.97","Right","-0.73","-0.02","2.83","-0.58","0.23","","","","",""
"4832","Victor Cabrera","ARG","Montreal","MLS","2019","","25","27","DF","PossessionOrientedCentralDefender","1180","13","12.4","87.6","Right","-0.73","0.02","2.35","-0.45","0.18","172328","203836","","","144359"
"4833","Borja Valero","ESP","Inter","Serie A","2019-2020","1801.59","34","35","MF","AttackingCentralProgressor","931","9","12.72","87.28","Right","-0.73","0.02","1.84","-0.9","0.18","5236252","2969465","1200000","5646030",""
"4834","Steeve Yago","BFA","Toulouse","Ligue 1","2017-2018","1537.36","24","28","DF","DefensiveWideProgressor","1577","16","11.22","88.78","Right","-0.73","-0.04","2.21","-0.52","0.13","","","","",""
"4835","Pedro Mendes","POR","Montpellier","Ligue 1","2020-2021","1596.89","30.25","30","DF","LowBlockCentralDefender","1237","14","11.23","88.77","Right","-0.73","0","1.93","-0.51","0.14","","","4800000","",""
"4836","Florian Miguel","FRA","Nimes","Ligue 1","2018-2019","1570.43","21","24","DF","LowBlockCentralDefender","1117","12","90.18","9.82","Left","-0.73","-0.02","1.34","-1.1","0.11","297437","1011898","","",""
"4837","Xavier Arreaga","ECU","Seattle","MLS","2019","","24","26","DF","LowBlockCentralDefender","1119","12","25.49","74.51","Right","-0.73","0.01","1.76","-0.68","0.14","500850","392268","1000000","","108116"
"4838","Juan Ferney Otero","COL","Amiens","Ligue 1","2019-2020","1484.79","24","25","FW,MF","Dribbler","1202","14","15.36","84.64","Right","-0.73","-0.05","2.46","-0.54","0.18","866300","1529670","2400000","2705112",""
"4839","Gonzalo Higuain","ARG","Chelsea","Premier League","2018-2019","1883.25","30","33","FW","Finisher","1085","13","11.46","88.54","Right","-0.73","-0.01","2.82","-0.59","0.23","20815069","21356764","","",""
"4840","Tyrone Mings","ENG","Aston Villa","Premier League","2020-2021","1716.22","27.81","27","DF","PossessionOrientedCentralDefender","1124","13","83.93","16.07","Left","-0.73","0.03","2.34","-0.46","0.19","","","22500000","",""
"4841","Ahmed Kutucu","TUR","Schalke 04","Bundesliga","2019-2020","1608.03","19","20","FW,MF","Finisher","679","3","15.58","84.42","Right","-0.73","-0.06","1.51","-1.9","0.2","20357","924660","5400000","5982607",""
"4842","Sandro Wagner","GER","Bayern Munich","Bundesliga","2017-2018","1943.77","29","33","FW","Finisher","726","8","18.18","81.82","Right","-0.73","0.11","2.82","-0.59","0.35","","","","",""
"4843","Julien Laporte","FRA","Lorient","Ligue 1","2020-2021","1451.42","27.16","27","DF","LowBlockCentralDefender","1170","13","14.26","85.74","Right","-0.73","0.01","1.75","-0.68","0.13","","","","",""
"4844","Allan","BRA","Everton","Premier League","2020-2021","1768.54","29.98","29","MF","DefensiveCentralProgressor","1028","12","11.61","88.39","Right","-0.73","-0.01","1.3","-0.68","0.11","","","","",""
"4845","Umut Bozok","TUR","Nimes","Ligue 1","2018-2019","1570.43","21","24","FW","Finisher","1235","14","20.66","79.34","Right","-0.74","-0.09","2.22","-1.19","0.16","338151","999314","","",""
"4846","Ondrej Petrak","CZE","Nurnberg","Bundesliga","2018-2019","1492.29","26","28","MF","DefensiveCentralProgressor","1624","18","11.82","88.18","Right","-0.74","-0.05","1.3","-0.68","0.07","","","","",""
"4847","Lamine Kone","CIV","Strasbourg","Ligue 1","2019-2020","1577.77","30","31","DF","PossessionOrientedCentralDefender","1473","17","18.22","81.78","Right","-0.74","-0.01","2.34","-0.46","0.14","","","2200000","1925527",""
"4848","Filip Duricic","SRB","Sassuolo","Serie A","2018-2019","1565.3","26","28","FW,MF","Dribbler","1252","16","14.31","85.69","Right","-0.74","-0.06","2.45","-0.54","0.18","","","","",""
"4849","Victor Lindelof","SWE","Manchester Utd","Premier League","2017-2018","1880.94","23","26","DF","PossessionOrientedCentralDefender","1285","13","17.08","82.92","Right","-0.74","-0.02","1.8","-1","0.13","","","28000000","",""
"4850","Emanuel Gyasi","GHA","Spezia","Serie A","2020-2021","1483.16","26.98","26","FW","Dribbler","1071","12","20.11","79.89","Right","-0.74","-0.03","2.45","-0.55","0.21","","","","",""
"4851","Eric Maxim Choupo-Moting","CMR","Paris S-G","Ligue 1","2018-2019","1824.47","29","31","FW,MF","Finisher","802","8","22.07","77.93","Right","-0.74","0.07","2.81","-0.6","0.32","2646400","3555726","4000000","",""
"4852","Aritz Elustondo","ESP","Real Sociedad","La Liga","2019-2020","1739.98","25","26","DF","PossessionOrientedCentralDefender","1510","17","10.18","89.82","Right","-0.74","-0.02","2.33","-0.47","0.14","1043858","1260509","10000000","12112743",""
"4853","Giacomo Raspadori","ITA","Sassuolo","Serie A","2019-2020","1644.71","19","20","MF,FW","Dribbler","264","2","32.14","67.86","Right","-0.74","0.09","0.98","-2.02","0.33","105177","1166495","2800000","3361578",""
"4854","Marc-Oliver Kempf","GER","Stuttgart","Bundesliga","2020-2021","1657.1","25.93","25","DF","PossessionOrientedCentralDefender","1102","13","89.56","10.44","Left","-0.74","0.04","2.33","-0.47","0.19","","","","",""
"4855","Yerry Mina","COL","Everton","Premier League","2020-2021","1768.54","26.27","26","DF","LowBlockCentralDefender","1170","13","14.93","85.07","Right","-0.74","0","1.75","-0.69","0.13","","","20000000","",""
"4856","Ilsinho","BRA","Philadelphia","MLS","2018","","32","35","FW,MF","Dribbler","989","9","8.8","91.2","Right","-0.74","0.05","3.32","0.32","0.3","327000","540358","500000","","203945"
"4857","Juanfran","ESP","Leganes","La Liga","2018-2019","1667.23","29","32","DF","OffensiveWideProgressor","1459","17","14.04","85.96","Right","-0.74","-0.02","2.72","-0.45","0.17","","","","",""
"4858","Karlan Grant","ENG","Huddersfield","Premier League","2018-2019","1522.12","20","23","FW,MF","Finisher","877","9","13.98","86.02","Right","-0.74","-0.02","2.21","-1.2","0.23","836455","1269716","","",""
"4859","Joao Mario","POR","Inter","Serie A","2018-2019","1730.07","25","27","MF,FW","AttackingCentralProgressor","1082","12","11.27","88.73","Right","-0.74","0.03","2.4","-0.35","0.2","5654700","2553699","","",""
"4860","Alexander Hack","GER","Mainz 05","Bundesliga","2018-2019","1650.15","24","27","DF","PossessionOrientedCentralDefender","1020","11","88.07","11.93","Left","-0.74","0.05","2.33","-0.47","0.21","678564","1335084","1000000","",""
"4861","Charalambos Lykogiannis","GRE","Cagliari","Serie A","2019-2020","1585.66","25","27","DF","DefensiveWideProgressor","1338","14","93.29","6.71","Left","-0.74","-0.01","2.2","-0.54","0.15","","","","",""
"4862","Erik Durm","GER","Huddersfield","Premier League","2018-2019","1522.12","26","28","DF","OffensiveWideProgressor","2055","21","27.13","72.87","Right","-0.75","-0.06","2.72","-0.45","0.12","2401181","3488687","","",""
"4863","Arlind Ajeti","ALB","Crotone","Serie A","2017-2018","1542.79","23","27","DF,MF","PossessionOrientedCentralDefender","1271","15","12.5","87.5","Right","-0.75","-0.02","1.79","-1.01","0.13","","","","",""
"4864","Julian Baumgartlinger","AUT","Leverkusen","Bundesliga","2020-2021","1855.38","33","32","MF","DefensiveCentralProgressor","814","9","15.43","84.57","Right","-0.75","0.02","1.26","-0.72","0.14","","","2000000","",""
"4865","Andrea Danzi","ITA","Hellas Verona","Serie A","2017-2018","1454.89","18","21","MF","DefensiveCentralProgressor","393","4","13.26","86.74","Right","-0.75","-0.07","0.17","-1.81","0.04","","","","",""
"4866","Leo Dubois","FRA","Lyon","Ligue 1","2019-2020","1694.29","24","26","DF","OffensiveWideProgressor","1346","15","15.28","84.72","Right","-0.75","0","2.72","-0.45","0.18","1352604","1057328","12000000","10179833",""
"4867","Bernard","BRA","Everton","Premier League","2019-2020","1720.04","26","28","MF,FW","Dribbler","1280","15","26.62","73.38","Right","-0.75","-0.07","2.45","-0.55","0.17","8232619","5839629","16000000","11925187",""
"4868","Jordi Alba","ESP","Barcelona","La Liga","2020-2021","1903.79","31.78","31","DF","OffensiveWideProgressor","1108","13","86.21","13.79","Left","-0.75","0.05","2.92","-0.25","0.24","","","30000000","",""
"4869","Peter Pekarik","SVK","Hertha BSC","Bundesliga","2019-2020","1648.52","32","34","DF","DefensiveWideProgressor","769","9","7.32","92.68","Right","-0.75","0.03","1.61","-1.12","0.19","882133","1711518","400000","1278272",""
"4870","Mathias Olivera","URU","Getafe","La Liga","2018-2019","1757.47","20","23","DF,MF","DefensiveWideProgressor","1007","12","86.64","13.36","Left","-0.75","0.01","1.85","-0.88","0.17","289521","1021668","","",""
"4871","Ledian Memushaj","ALB","Benevento","Serie A","2017-2018","1449.56","30","34","MF","AttackingCentralProgressor","1258","15","22.99","77.01","Right","-0.75","0","2.39","-0.35","0.17","","","","",""
"4872","Juanfran","ESP","Atletico Madrid","La Liga","2018-2019","1874.54","33","35","DF","OffensiveWideProgressor","1609","18","8.46","91.54","Right","-0.75","-0.02","2.92","-0.26","0.16","7322837","4996821","","",""
"4873","Davide Zappacosta","ITA","Chelsea","Premier League","2017-2018","1833.3","25","28","DF,MF","OffensiveWideProgressor","1098","12","10.04","89.96","Right","-0.75","0.04","2.71","-0.46","0.22","","","","",""
"4874","William Carvalho","POR","Betis","La Liga","2019-2020","1666.35","27","28","MF","DefensiveCentralProgressor","892","11","18.29","81.71","Right","-0.75","0.01","1.28","-0.7","0.13","","","20000000","13255033",""
"4875","Adam Lundqvist","SWE","Houston","MLS","2018","","23","26","DF","OffensiveWideProgressor","1202","12","88.85","11.15","Left","-0.75","-0.03","2","-1.17","0.15","433750","266989","800000","","122858"
"4876","Iver Fossum","NOR","Hannover 96","Bundesliga","2017-2018","1575.5","21","24","MF","AttackingCentralProgressor","1306","13","15.48","84.52","Right","-0.75","-0.03","1.85","-0.9","0.13","","","","",""
"4877","Andrew Surman","ENG","Bournemouth","Premier League","2018-2019","1690.68","31","34","MF","DefensiveCentralProgressor","1439","16","83.77","16.23","Left","-0.75","-0.04","1.25","-0.73","0.08","2401181","3307164","","",""
"4878","Yannick Cahuzac","FRA","Toulouse","Ligue 1","2018-2019","1491.43","33","35","MF,DF","DefensiveCentralProgressor","1431","15","5.86","94.14","Right","-0.75","-0.04","1.25","-0.73","0.08","499875","1061400","","",""
"4879","Javi Castellano","ESP","Las Palmas","La Liga","2017-2018","1539.63","29","33","MF","DefensiveCentralProgressor","1567","17","13.13","86.87","Right","-0.75","-0.05","1.28","-0.7","0.07","","","","",""
"4880","Brek Shea","USA","Atlanta","MLS","2019","","28","30","DF","OffensiveWideProgressor","911","10","72.51","27.49","Left","-0.75","0.08","2.71","-0.46","0.27","225000","326382","","","166473"
"4881","Michael Obafemi","IRL","Southampton","Premier League","2019-2020","1724.54","19","20","FW","Finisher","665","8","11.11","88.89","Right","-0.75","-0.06","1.49","-1.92","0.2","40899","1221257","4500000","4869817",""
"4882","Eddy Gnahore","FRA","Amiens","Ligue 1","2019-2020","1484.79","25","27","MF","DefensiveCentralProgressor","1133","14","5.34","94.66","Right","-0.76","-0.02","1.28","-0.7","0.1","","","2000000","2073607",""
"4883","Vukasin Jovanovic","SRB","Bordeaux","Ligue 1","2017-2018","1633.16","21","24","DF","PossessionOrientedCentralDefender","1440","16","13.69","86.31","Right","-0.76","-0.04","1.78","-1.02","0.11","","","","",""
"4884","Beram Kayal","ISR","Brighton","Premier League","2018-2019","1616.4","30","32","MF","DefensiveCentralProgressor","940","9","8.49","91.51","Right","-0.76","0","1.28","-0.7","0.12","1715129","2783335","","",""
"4885","Stanislav Lobotka","SVK","Celta Vigo","La Liga","2019-2020","1668.71","24","26","MF","DefensiveCentralProgressor","1383","17","10.72","89.28","Right","-0.76","-0.04","1.28","-0.7","0.08","2334260","2583895","19000000","14656433",""
"4886","Marcel Risse","GER","Koln","Bundesliga","2017-2018","1543.68","27","31","DF,MF","OffensiveWideProgressor","1169","13","4.76","95.24","Right","-0.76","0.02","2.71","-0.46","0.21","","","","",""
"4887","Ivan Marcone","ARG","Elche","La Liga","2020-2021","1584.74","30.58","30","MF","DefensiveCentralProgressor","947","11","8.75","91.25","Right","-0.76","0","1.25","-0.73","0.12","","","","",""
"4888","Ozan Kabak","TUR","Schalke 04","Bundesliga","2020-2021","1573.13","20.77","20","DF","LowBlockCentralDefender","703","8","14.52","85.48","Right","-0.76","0.04","1.31","-1.12","0.17","","","29000000","",""
"4889","Mathieu Cafaro","FRA","Reims","Ligue 1","2019-2020","1605.37","22","23","FW,MF","Playmaker","924","12","9.09","90.91","Right","-0.76","0.07","2.94","-0.74","0.29","225057","1330928","6000000","10273577",""
"4890","Javi Lopez","ESP","Espanyol","La Liga","2017-2018","1727.57","31","34","DF","DefensiveWideProgressor","965","12","15.85","84.15","Right","-0.76","-0.01","1.6","-1.13","0.15","","","800000","",""
"4891","Demarai Gray","ENG","Leicester City","Premier League","2019-2020","1762.14","23","24","MF,FW","Dribbler","622","3","8.6","91.4","Right","-0.76","0.09","2.3","-0.7","0.33","3773284","3346512","14500000","13328020",""
"4892","Jaroslav Plasil","CZE","Bordeaux","Ligue 1","2017-2018","1633.16","35","38","MF","DefensiveCentralProgressor","1045","11","40.77","59.23","Dual","-0.76","-0.01","1.25","-0.73","0.11","","","","",""
"4893","Vedad Ibisevic","BIH","Hertha BSC","Bundesliga","2019-2020","1648.52","34","36","FW","Finisher","1257","15","6.6","93.4","Right","-0.76","-0.03","3.06","-0.35","0.22","","","","",""
"4894","Marco Fossati","ITA","Hellas Verona","Serie A","2017-2018","1454.89","24","28","MF","DefensiveCentralProgressor","1101","11","19.16","80.84","Right","-0.76","-0.02","1.28","-0.7","0.1","","","","",""
"4895","Benjamin Mendy","FRA","Manchester City","Premier League","2019-2020","1988.88","25","26","DF","OffensiveWideProgressor","1492","18","90.96","9.04","Left","-0.76","-0.02","2.7","-0.47","0.16","6860516","6702913","28000000","20062533",""
"4896","Arturo Vidal","CHI","Inter","Serie A","2020-2021","1858.84","33.61","33","MF","AttackingCentralProgressor","698","8","17.26","82.74","Right","-0.76","0.08","1.81","-0.93","0.23","","","","",""
"4897","Armando Izzo","ITA","Genoa","Serie A","2017-2018","1561.46","25","28","DF","PossessionOrientedCentralDefender","1387","16","30.6","69.4","Right","-0.76","-0.01","2.31","-0.49","0.15","","","","",""
"4898","Jan Thielmann","GER","Koln","Bundesliga","2020-2021","1628.59","18.6","18","FW,MF","AttackingCentralProgressor","580","7","7.14","92.86","Right","-0.76","-0.06","0.51","-2.24","0.08","","","","",""
"4899","Yannick Cahuzac","FRA","Toulouse","Ligue 1","2017-2018","1537.36","32","35","MF","DefensiveCentralProgressor","1517","18","5.72","94.28","Right","-0.76","-0.04","1.24","-0.74","0.07","","","","",""
"4900","Danilo Barbosa","BRA","Nice","Ligue 1","2019-2020","1605.34","23","24","DF,MF","PossessionOrientedCentralDefender","1122","12","20.18","79.82","Right","-0.76","-0.01","1.78","-1.02","0.14","","","","",""
"4901","Oscar Melendo","ESP","Espanyol","La Liga","2017-2018","1727.57","19","23","MF,FW","AttackingCentralProgressor","693","6","88.11","11.89","Left","-0.76","-0.08","0.51","-2.24","0.07","","","4500000","",""
"4902","Ignacio Camacho","ESP","Wolfsburg","Bundesliga","2017-2018","1599.49","27","30","MF,DF","DefensiveCentralProgressor","951","11","9.62","90.38","Right","-0.76","0","1.27","-0.71","0.12","","","","",""
"4903","Keven Schlotterbeck","GER","Freiburg","Bundesliga","2018-2019","1596.02","21","23","DF","LowBlockCentralDefender","773","8","69.36","30.64","Left","-0.76","0.02","1.3","-1.13","0.15","70684","973101","","",""
"4904","Yeferson Quintana","URU","San Jose","MLS","2018","","21","24","DF","LowBlockCentralDefender","791","10","9.76","90.24","Right","-0.76","0.02","1.3","-1.13","0.15","341250","356079","","","79858"
"4905","Hassane Kamara","GAM","Reims","Ligue 1","2018-2019","1583.48","23","26","DF,FW","DefensiveWideProgressor","926","9","90.32","9.68","Left","-0.76","0.02","1.84","-0.89","0.18","438805","1136230","6000000","",""
"4906","Alejandro Fuenmayor","VEN","Houston","MLS","2019","","22","24","DF","LowBlockCentralDefender","698","8","18.39","81.61","Right","-0.77","0.04","1.3","-1.13","0.17","172508","222889","400000","","79858"
"4907","Xavi Quintilla","ESP","Villarreal","La Liga","2019-2020","1771.16","22","24","DF","OffensiveWideProgressor","1573","17","94.13","5.87","Left","-0.77","-0.06","1.99","-1.18","0.11","","","","",""
"4908","Myziane Maolida","FRA","Nice","Ligue 1","2019-2020","1605.34","20","21","FW,MF","Dribbler","675","7","14.05","85.95","Right","-0.77","0.07","2.29","-0.71","0.31","873086","949376","7200000","6534797",""
"4909","Kevin Stoger","AUT","Dusseldorf","Bundesliga","2019-2020","1591.63","25","27","MF","AttackingCentralProgressor","1268","14","83.24","16.76","Left","-0.77","0","2.38","-0.37","0.17","563208","1439782","","",""
"4910","Alvas Powell","JAM","FC Cincinnati","MLS","2019","","24","26","DF","DefensiveWideProgressor","969","10","9.55","90.45","Right","-0.77","0.04","2.17","-0.56","0.2","","","","","133301"
"4911","Marvin Friedrich","GER","Union Berlin","Bundesliga","2020-2021","1680.98","25.05","25","DF","PossessionOrientedCentralDefender","1170","13","13.26","86.74","Right","-0.77","0.02","2.31","-0.49","0.18","","","2800000","",""
"4912","Mario Balotelli","ITA","Marseille","Ligue 1","2018-2019","1636.44","27","30","FW","Finisher","933","12","10","90","Right","-0.77","0.03","2.79","-0.62","0.27","14702220","9527941","","",""
"4913","Federico Bonazzoli","ITA","Sampdoria","Serie A","2019-2020","1589.41","22","23","FW,MF","Finisher","744","7","80.9","19.1","Left","-0.77","0.01","2.19","-1.22","0.26","","","5000000","4383773",""
"4914","Unai Nunez","ESP","Athletic Club","La Liga","2018-2019","1718.35","21","23","DF","PossessionOrientedCentralDefender","1064","11","11.39","88.61","Right","-0.77","0","1.77","-1.03","0.15","1333378","1047217","","",""
"4915","Waylon Francis","CRC","Columbus","MLS","2019","","28","30","DF","DefensiveWideProgressor","1382","16","89.1","10.9","Left","-0.77","-0.02","2.17","-0.56","0.14","199167","130686","600000","","133301"
"4916","Danny Wilson","SCO","Colorado","MLS","2019","","27","29","MF,DF","PossessionOrientedCentralDefender","1328","15","72.99","27.01","Left","-0.77","0","2.31","-0.49","0.16","540000","383591","550000","","141901"
"4917","Zdenek Ondrasek","CZE","FC Dallas","MLS","2019","","30","32","FW","Finisher","751","8","31.25","68.75","Right","-0.77","0.09","2.78","-0.62","0.33","522250","570688","","","170773"
"4918","Romain Saiss","MAR","Wolves","Premier League","2020-2021","1765.83","30.77","30","DF","PossessionOrientedCentralDefender","967","11","91.37","8.63","Left","-0.77","0.03","2","-0.8","0.19","","","8000000","",""
"4919","Zaydou Youssouf","FRA","Bordeaux","Ligue 1","2018-2019","1553.36","19","21","FW,MF","Playmaker","422","7","88.24","11.76","Left","-0.77","-0.12","0.34","-3.35","0.07","537197","934546","","",""
"4920","Manuel Akanji","SUI","Dortmund","Bundesliga","2017-2018","1737.74","22","25","DF","PossessionOrientedCentralDefender","904","10","26.49","73.51","Right","-0.77","0.03","1.77","-1.03","0.18","","","20000000","",""
"4921","Roland Sallai","HUN","Freiburg","Bundesliga","2020-2021","1687.84","23.61","23","MF,FW","Dribbler","762","10","26.44","73.56","Right","-0.77","0.05","2.42","-0.58","0.29","","","3500000","",""
"4922","Aaron Cresswell","ENG","West Ham","Premier League","2018-2019","1729.39","28","31","DF","OffensiveWideProgressor","1589","18","93.62","6.38","Left","-0.77","-0.03","2.69","-0.48","0.15","3430258","4039261","6500000","",""
"4923","Pablo de Blasis","ARG","Mainz 05","Bundesliga","2017-2018","1595.9","29","32","FW,MF","Playmaker","1652","20","19.84","80.16","Right","-0.78","-0.06","3.14","-0.55","0.17","","","","",""
"4924","Peter Pekarik","SVK","Hertha BSC","Bundesliga","2020-2021","1668.61","34.17","34","DF","DefensiveWideProgressor","904","12","6.6","93.4","Right","-0.78","0","1.59","-1.15","0.16","","","400000","",""
"4925","Kellyn Acosta","USA","Colorado","MLS","2018","","22","25","MF,FW","AttackingCentralProgressor","1039","12","30.45","69.55","Right","-0.78","0","1.83","-0.92","0.16","","","3000000","","112416"
"4926","Bacary Sagna","FRA","Benevento","Serie A","2017-2018","1449.56","34","37","DF","DefensiveWideProgressor","957","10","16.82","83.18","Right","-0.78","-0.01","1.59","-1.15","0.15","","","","",""
"4927","Christian Atsu","GHA","Newcastle Utd","Premier League","2018-2019","1715.6","26","28","MF,FW","Dribbler","1493","15","84.47","15.53","Left","-0.78","-0.09","2.42","-0.58","0.15","2058155","3473956","4800000","",""
"4928","Brendan Chardonnet","FRA","Brest","Ligue 1","2020-2021","1535.14","26.03","26","DF","LowBlockCentralDefender","826","9","6.31","93.69","Right","-0.78","0.06","1.71","-0.72","0.19","","","650000","",""
"4929","Ibrahima Mbaye","SEN","Bologna","Serie A","2019-2020","1584.17","24","26","DF","DefensiveWideProgressor","1507","16","10.39","89.61","Right","-0.78","-0.03","2.16","-0.57","0.13","1570876","1226468","2000000","2091303",""
"4930","Antonio Luna","ESP","Levante","La Liga","2018-2019","1682.22","27","29","DF","DefensiveWideProgressor","1258","14","79.4","20.6","Left","-0.78","-0.01","2.16","-0.57","0.15","779218","1578800","","",""
"4931","Mateo Musacchio","ARG","Milan","Serie A","2019-2020","1758.25","28","30","DF","PossessionOrientedCentralDefender","1466","17","9.83","90.17","Right","-0.78","-0.01","2.29","-0.5","0.14","4189002","3020013","7000000","7796077",""
"4932","Nikola Maksimovic","SRB","Napoli","Serie A","2018-2019","1803.07","26","29","DF","PossessionOrientedCentralDefender","1375","15","9.09","90.91","Right","-0.78","-0.01","2.29","-0.5","0.15","2512949","1481853","","",""
"4933","Rodrigo Bentancur","URU","Juventus","Serie A","2020-2021","1852.12","23.58","23","MF","DefensiveCentralProgressor","762","8","20.53","79.47","Right","-0.78","0.03","1.26","-0.72","0.15","","","50000000","",""
"4934","Sam Field","ENG","West Brom","Premier League","2017-2018","1617.33","19","22","MF","AttackingCentralProgressor","537","7","80.99","19.01","Left","-0.78","-0.06","0.49","-2.26","0.08","","","","",""
"4935","Sander Berge","NOR","Sheffield Utd","Premier League","2020-2021","1615.94","22.88","22","MF","AttackingCentralProgressor","1016","12","7.99","92.01","Right","-0.78","0","1.82","-0.92","0.16","","","20000000","",""
"4936","Valentin Castellanos","ARG","NYCFC","MLS","2018","","19","22","FW","Finisher","446","5","7.62","92.38","Right","-0.78","0.03","1.46","-1.95","0.29","181008","230125","1500000","","89687"
"4937","Gleison Bremer","BRA","Torino","Serie A","2020-2021","1568.57","23.79","23","DF","LowBlockCentralDefender","990","11","19.28","80.72","Right","-0.78","0.03","1.71","-0.73","0.16","","","","",""
"4938","Pedro Bigas","ESP","Las Palmas","La Liga","2017-2018","1539.63","26","30","DF","LowBlockCentralDefender","893","11","54.64","45.36","Dual","-0.78","0.04","1.71","-0.73","0.17","","","","",""
"4939","Eddy Salcedo","ITA","Hellas Verona","Serie A","2019-2020","1559.21","17","19","FW,MF","Finisher","680","7","11.8","88.2","Right","-0.78","-0.07","1.46","-1.95","0.19","","","","",""
"4940","Jamaal Lascelles","ENG","Newcastle Utd","Premier League","2019-2020","1681.85","25","27","DF","LowBlockCentralDefender","2076","24","16.81","83.19","Right","-0.78","-0.06","1.71","-0.73","0.07","2744206","3396722","14500000","10617610",""
"4941","Cristian Dell'Orco","ITA","Empoli","Serie A","2018-2019","1547.51","24","26","DF","LowBlockCentralDefender","1035","12","79.87","20.13","Left","-0.78","0.02","1.71","-0.73","0.15","627672","1348631","","",""
"4942","Calum Chambers","ENG","Arsenal","Premier League","2017-2018","1818.72","22","25","DF","PossessionOrientedCentralDefender","866","10","10.93","89.07","Right","-0.78","0.03","1.75","-1.04","0.18","","","14500000","",""
"4943","Marcel Halstenberg","GER","RB Leipzig","Bundesliga","2017-2018","1685.61","25","29","DF","OffensiveWideProgressor","1178","14","87.57","12.43","Left","-0.78","0.02","2.68","-0.49","0.2","","","20000000","",""
"4944","Yunus Musah","USA","Valencia","La Liga","2020-2021","1704.95","18.09","18","MF","Dribbler","976","12","14.46","85.54","Right","-0.79","-0.16","0.94","-2.06","0.09","","","","",""
"4945","Kevin Gameiro","FRA","Atletico Madrid","La Liga","2017-2018","1929.46","30","33","FW","Finisher","1133","11","11.82","88.18","Right","-0.79","-0.02","2.77","-0.64","0.22","","","","",""
"4946","Tim Ream","USA","Fulham","Premier League","2018-2019","1585.52","30","33","DF","PossessionOrientedCentralDefender","2047","25","79.96","20.04","Left","-0.79","-0.05","2.29","-0.51","0.1","1852339","1391321","","",""
